-010	-009	-008	-007	-006	-005	-004	-003	-002	-001	-000	FIND	DRAWING	TITLE
4	4	4									53	2012636	SCREW, SHOULDER
1	1	1									52	1013014	PLATE, BEARING EYEPIECE (SCT)
AR	AR		AR		AR						51	1012543-003	COATING KIT – LIGHT DIFFUSING
1			1								50	1011891-006	OPTICAL UNIT SUBASSY STAGE III
		1		1							49	2011946	RESOLVER TRIMMING MODULE ASSY
1		1	1	1							48	2012547-011	COVER & BAFFLE ASSY
		1		1							47	1011891-005	OPTICAL UNIT SUBASSY STAGE III
	1				1						46	1011891-004	OPTICAL UNIT SUBASSY STAGE III
1	1	1	1	1	1						45	1013000	COVER, SEXTANT HD
	1				1						44	1013001	COVER & BAFFLE ASSY OF (SCT)
			1	1	1						43	2012573	SHIM FOCUSING, AIR (SXT)
			2	2	2						42	NAS1352CO2LL3	SCREW, SELF LOCKING
1	1	1	1	1	1						41	2012608	FOCUSING SHIM
1	1	1	1	1	1						40	1011784-002	PANEL ASSY, SCT
			1	1	1						39	1013009	SXT EYEPIECE ASSY
1	1	1	1	1	1						38	1011711-001	PANEL ASSY SXT
			1	1	1	1					37	1011960-001	SCT EYEPIECE ASSY
			1	1	1	1					36	1011734-001	HOUSING SCT PRISM ASSY OF
						1					35	1011786-001	SEXTANT EYEPIECE ASSY
									1		34	1011946-002	RESOLVER TRIMMING MODULE ASSY
						1					33	1012240	SHIM FOCUSING, AIR (SXT)
1	1		1		1	1	1				32	1012245	RESOLVER TRIMMING MODULE ASSY
						1	1				31	1011891-003	OPTICAL UNIT SUBASSY STAGE III
1	1	1	1	1	1	1	1				30	1012196	PLATE, IDENTIFICATION
		1		1				1			29	1011891-002	OPTICAL UNIT SUBASSY STAGE III
								1			28	1011946-001	RESOLVER TRIMMING MODULE ASSY
									1		27	1011891-001	OPTICAL UNIT SUBASSY STAGE III
						1	1	1	1		26	1011784-001	PANEL ASSEMBLY, SCT
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	25	1011541	ADHESIVE, EPOXY
											24		
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	23	1011955	SPACER
8	8	8	8	8	8	8	8	8	8	8	22	NAS1352CO4LL6	SCREW, CAP, SOC. HEAD, SELF-LOCKING
1	1	1	1	1	1	1	1	1	1	1	21	1011732	LENS, TELESCOPE RELAY, ASSY OF
2	2	2	2	2	2	2	2	2	2	2	20	1011625-28	SCREW, CAP HEX SOCK HD SELF-LOCKING
										1	19	1011946-001	RESOLVER TRIMMING MODULE ASSY
			1	1	1	1	1	1	1	1	18	1011788	LONG EYE RELIEF EYEPIECE ASSEMBLY (SCT)
			1	1	1	1	1	1	1	1	17	1011787	LONG EYE RELIEF EYEPIECE ASSEMBLY (SXT)
			1	1	1	1	1	1	1	1	16	1011932	EYEPIECE (SXT) ASSY OF
			2	2	2	2	2	2	2	2	15	NAS1189CO2P3L	SCREW, SELF LOCKING, 100 DEGREE FLAT HEAD
			AR	AR	AR	AR	AR	AR	AR	AR	14	1011887-1 THRU 7	SHIM, SPACER
							1	1	1	1	13	1011960-000	SCT EYEPIECE ASSY
							1	1	1	1	12	1011734-000	HOUSING SCT PRISM ASSY OF
							1	1	1	1	11	1011786-000	SEXTANT EYEPIECE ASSY
48	48	48	48	48	48	48	48	48	48	48	10	NAS1352CO4LL8	SCREW, CAP, SOC. HEAD, SELF-LOCKING
										1	9	1011784-000	PANEL ASSEMBLY, SCT
						1	1	1	1	1	8	1011711	PANEL ASSEMBLY, SEXTANT
2	2	2	2	2	2	2	2	2	2	2	7	1011745-1	GASKET
4	4	4	4	4	4	4	4	4	4	4	6	NAS1190CO4P4L	SCREW, SELF-LKG PAN HEAD FULL THD
						1	1	1	1	1	5	1012138	COUNTER WEIGHT & COVER ASSY
3	3	3	3	3	3	3	3	3	3	3	4	1011602	NUT, SLOTTED FLAT
						1	1	1	1	1	3	1011604	COVER, SEXTANT HEAD CSK HEAD
3	3	3	3	3	3	3	3	3	3	3	2	1011603	ROD, THREADED
									1	1	1	1011891	OPTICAL UNIT SUBASSY STAGE III
													
													PROOFED
