FIND	0	DRAWING	TITLE
16	2	1012218	BLOCK, MIRROR MOUNT
15	2	1011446	PIN, ALIGNMENT
14	5	1012170	PAD, CLAMP
13	22	NAS1352CO3LL4	SCREW, CAP, HEX SOC HEAD
12	6	MS16555-617	PIN, STRAIGHT, HEADLESS (DOWEL)
11			
10	AR	1011541	ADHESIVE, EPOXY
9	2	1011534	PAD, MOUNTING
8	2	1011533	PAD, MOUNTING
7	4	NAS1352CO4LL4	SCREW, CAP, HEX. SOC. HD.
6	1	1011424	STIFFENER
5	1	1011532	FLANGE, MOUNTING (LEFT SIDE)
4	1	1011531	FLANGE, MOUNTING (RIGHT SIDE)
3	1	1011535	PANEL, LOWER
2	1	1011536	PANEL, UPPER
1	1	1011530	PANEL, FRONT
			
			PROOFED
