FIND	0	DRAWING	TITLE
48	2	1011544-1	WASHER, SLIP
47	1	1000220-7	CLAMP, CABLE
46	3	NAS1352CO44	SCREW, CAP, SOCKET HEAD
45	1	1011540	BRACKET, SUPPORT
44	AR	1011753	TAPE, LACING AND TYING
43	AR	1011525	SPACER, SHIM
42	1	1011413	LAMP, PROJECTION
41	4	1014503	SCREW, CAPTIVE
40	1	1011420	CARTRIDGE, ASSY OF
39	3	NAS1352CO4LL8	SCREW, CAP, HEXAGON, SOC HD, SELF LOCKING
38	1	1011360	MIRROR, LARGE
37	2	1011466	COLLAR, SHAFT
36	2	MS51029-9	SETSCREW, HEXAGON, SOC HD, FLAT POINT
35	2	MS16555-645	PIN, DOWEL
34	1	1011473	ACCESS DOOR ASSY OF
33			
32	2	1011539	SCREW, CAP, HEXAGON, SOC HD, SELF LOCKING (MOD)
31			
30			
29	3	NAS1352CO4LL6	SCREW, CAP, HEXAGON, SOC HD, SELF LOCKING
28	4	1011918-1	WASHER, CABLE CLAMP
27	1	1000220-9	CLAMP, CABLE
26	2	-6	CLAMP, CABLE
25	1	NAS1352CO4-8	SCREW, SOC. HD. CAP
24	1	1011487	WIRING HARNESS – BRANCED
23	1	1011489	BRACKET, CONNECTOR
22	4	1011750	NUT, SELF-LOCKING, HEXAGON
21	3	NAS1352CO4-6	SCREW, CAP, HEXAGON, SOC HD
20	1	1011469	BRACKET, SWITCH
19	4	1011625-26	SCREW, CAP, HEXAGON, SOC HD, SELF LOCKING
18	1	1011375	INDICATOR, INTEGRATED READOUT
17	3	NAS1352CO6-4	SCREW, CAP, HEXAGON, SOC HD
16	1	1011483	AMPLIFIER AND SWITCH ASSY OF
15	2	NAS1352CO4LL4	SCREW, CAP, HEXAGON, SOC HD, SELF LOCKING
14	1	1011538	BRACKET, CONNECTOR, ASSY OF
13	4	NAS1352CO6LL6	SCREW, CAP, HEXAGON, SOC HD, SELF LOCKING
12	1	1011468	GEAR BOX AND MIRROR ASSY OF
11	8	1011625-8	SCREW, CAP, HEXAGON, SOC HD, SELF LOCKING
10	4	1011380	SPRING, RETAINER
9	AR	1011519	SHIM, VIEWSCREEN
8	2	NAS1352CO6-6	SCREW, CAP, HEXAGON, SOC HD
7	1	1011459	KNOB AND INSERT – ASSY OF
6	2	1011383	BLOCK, BEARING
5	6	NAS1189CO2P-4L	SCREW, SELF LOCKING, 100 DEGREE FLAT HD
4	1	1011388	SCREW, SCREEN ADJUST
3	1	1011377	SCREEN, VIEW
2	2	1011446	PIN, ALIGNMENT
1	1	1011537	HOUSING, MACHINING ASSEMBLY
			
			PROOFED
