-005	-004	-003	-002	-001	FIND	DRAWING	TITLE
4	4	4	4	4	21	NAS1352CO4LL4	SCREW, CAP, SOC. HD. SELF LOCKING
1	1	1	1	1	20	1011599-10	PACKING, PREFORMED, RETAINED
1	1	1	1	1	19	MS35249-11	SCREW, 82 DEGREE FLAT HEAD
8	8	8	8	8	18	NAS1352CO6LL5	SCREW, CAP, SOC. HD. SELF LOCKING
2	2	2	2	2	17	NAS1352CO6LL6	SCREW, CAP, SOC. HD. SELF LOCKING
4	4	4	4	4	16	NAS1351C3LL10	SCREW, CAP, SOC. HD. SELF LOCKING
					15		
2	2	2	2	2	14	MS16624-15	RING, RETAINING, EXTERNAL, BASIC
1	1	1	1	1	13	MS15795-305	WASHER, FLAT
1	1	1	1	1	12	1011918-2	WASHER, CABLE CLAMP
1	1	1	1	1	11	1000220-6 or 1000220-5	CLAMP, CABLE
1	1	1	1	1	10	1000220-8 or 1000220-5	CLAMP, CABLE
					9		
AR	AR	AR	AR	AR	8	1011885	SHIM
1	1	1	1	1	7	1011599-9	PACKING, PREFORMED, RETAINED
					6		
				1	5	1011713-000	SCT BASE HARNESS ASSY
				1	4	1011896-000	SXT BASE HARNESS ASSY
				1	3	1011909-000	RESOLVER AND CONNECTOR, ASSY OF
				1	2	1011701-000	SEXTANT INDEX HEAD ASSY
				1	1	1011890	OPTICAL UNIT SUBASSY – STAGE II
							
							PROOFED
