FIND	0	DRAWING	TITLE
57	1	1012219	MIRROR, CONCAVE
56	4	MS35649-44	NUT, PLAIN, HEX
55	1	1011361	MIRROR, SMALL
54	1	1011470	SUPPORT, MIRROR, ASSY OF
53	4	1010630-14	SCREW, FLAT HEAD, 100 DEGREES HEX SOCKET
52	1	1012187	GUIDE, ASSY
51	AR	MIL-S-22473 GRADE C	SEALING COMPOUND, RETAINING
50	3	NAS1352CO2LL4	SCREW CAP HEX SOC HD SELF LOCKING
49	1	1011546	SHIELD
48	4	1011750-4	NUT, SELF LOCKING HEX
47	2	1011625-13	SCREW, CAP SOCKET HD SELF LOCKING
46	3	NAS1352CO44	SCREW, CAP, SOCKET HEAD
45	2	1010630-2	SCREW, FLAT HEAD 100 DEGREES
44	AR	1011541	ADHESIVE, EPOXY
43	AR	1011525	SPACER, SHIM
42	2	1011413	LAMP, PROJECTION
41	4	1014503	SCREW, CAPTIVE
40	1	1011420	MAGAZING, ASSY OF
39	3	NAS1352CO4LL8	SCREW, CAP, HEXAGON, SOC HD, SELF LOCKING
38	1	1011360	MIRROR, LARGE
37	2	1011466	COLLAR, SHAFT
36	2	MS51029-9	SETSCREW, HEXAGON, SOC HD, FLAT POINT
35	2	MS16555-645	PIN, DOWEL
34	1	1011473	ACCESS DOOR ASSY OF
33			
32	2	1011539	SCREW, CAP, HEXAGON, SOC HD, SELF LOCKING (MOD.)
31	2	MS24671-2	SCRE, CAP, SOC HD, FLAT CSUNK 82 DEGREES
30	2	1011544-1	WASHER, SLIP
29	10	NAS1352CO4LL6	SCREW, CAP, HEXAGON, SOC HD SELF-LOCKING
28	7	1011918-1	WASHER, CABLE CLAMP
27	2	NAS1352CO4LL10	SCREW, CAP, SOCKET HEAD
26	5	1000220-5	CLAMP, CABLE
25	1	1000220-2	CLAMP, CABLE
24	1	1012163	WIRING HARNESS A, BRANCHED
23	1	1000220-6	CLAMP, CABLE
22	8	1011750-8	NUT, SELF-LOCKING, HEXAGON
21			
20			
19	4	1011625-26	SCREW, CAP, HEXAGON, SOC HD, SELF LOCKING
18	1	1011375	INDICATOR, INTEGRATED READOUT
17	2	MS15795-304	WASHER, FLAT
16	1	1014630	AMPLIFIER AND SWITCH ASSY OF
15	10	NAS1352CO4LL4	SCREW, CAP, HESXAGON, SOC HD, SELF LOCKING
14	1	1011549	BRACKET, CONNECTOR, ASSY OF
13	4	NAS1352CO6LL6	SCREW, CAP, HEXAGON, SOC HD, SELF LOCKING
12	1	1012200	GEAR BOX, ASSY OF
11	8	1011625-8	SCREW, CAP, HEXAGON, SOC HD, SELF LOCKING
10	4	1011380	SPRING, RETAINER
9	AR	1011519	SHIM, VIEWSCREEN
8	1	1012202	PAD, BRACKET
7	1	1011459	KNOB AND INSERT - ASSY OF
6	2	1011383	BLOCK, BEARING
5	6	NAS1189CO2P-4-L	SCREW, SELF LOCKING, 100 DEGREES FLAT HD
4	1	1011388	SCREW, SCREEN ADJUST
3	1	1011377	SCREEN, VIEW
2			
1	1	1011537	HOUSING, MACHINING ASSEMBLY
			
			PROOFED
