-31	-21	-11	FIND	DRAWING	TITLE	STRIKE
1			42	1014650-25	NAMEPLATE	
1			41	1015035	WIRE HARNESS	
	75		40	1010738-1	PINS, MALE	
	1		39	1010812-3	GASKET	
	1		38	1014650-23	NAMEPLATE	
AR	AR		37	TT-M-261	METHY-ETHYL-KETONE	
AR	AR		36	1012504-2	PRIMER, METAL	
AR	AR		35	1012504-1	PRIMER, METAL	
AR	AR		34	1012503-2	COMPOUND POLYURETHANE	
AR	AR		33	1012503-1	COMPOUND POLYURETHANE	
		8	32	1010490-112	INSULATION - SLEEVING	X
X	X	X	REF	1014524	SCHEMATIC DIAGRAM	
AR	AR	AR	31	QQ-S-571 SN60	SOLDER (ES-2175 ALLOY 1)	
AR	AR	AR	30	MIL-F-14256	FLUX (ES-2798)	
AR	AR	AR	29	QQ-S-571 TYPE AR	FLUX (ES-2175 TYPE 1 OR 2)	
		33	28	1010490-82	INSULATION - SLEEVING	X
		18	27	1010490-80	INSULATION - SLEEVING	X
		1	26	1014650-2	NAMEPLATE	
1	1	1	25	1006783-21	SCREW, BUTTON HD	
2	2	2	24	MS16633-4009	RING, RETAINING, EXTERNAL	
10	10	10	23	1006783-22	SCREW, BUTTON HD	
						
2	2	2	21	1011918-3	WASHER - CABLE CLAMP	
1	1	1	20	1000220-6	CLAMP -CABLE	
1	1	1	19	1000220-5	CLAMP -CABLE	
4	4	4	18	1014503	SCREW - CAPTIVE, CAP	
	1	1	17	1014531	WIRE HARNESS	
1	1	1	16	1010475-1	CAP, PUSHBUTTON	
1	1	1	15	1010480-1	SWITCH, PUSH BUTTON	
1	1	1	14	1010484-1	SWITCH, TOGGLE	
1	1	1	13	1010451-6	CAP - ILLUMINATED, PUSH BUTTON	
1	1	1	12	1010451-5	CAP - ILLUMINATED, PUSH BUTTON	
1	1	1	11	1010451-4	CAP - ILLUMINATED, PUSH BUTTON	
1	1	1	10	1010451-3	CAP - ILLUMINATED, PUSH BUTTON	
1	1	1	9	1010451-2	CAP - ILLUMINATED, PUSH BUTTON	
1	1	1	8	1014651-1	CAP - ILLUMINATED, PUSH BUTTON	
6	6	6	7	1010624-2	LAMP, INCANDESCENT	
6	6	6	6	1010627-1	SWITCH, PUSH BUTTON	
1	1	1	5	1010336	METER, ELECTRICAL, INDICTING	
2	2	2	4	1014530	PIN - CONNECTOR	
1	1	1	3	1014529	PLATE -SWITCH	
2	2	2	2	1014528	PIN - PANEL	
1	1	1	1	1014527	PANEL - IMU CONTROL (INSEP)	
						
					PROOFED	
