-031	-021	-011	FIND	DRAWING	TITLE	STRIKE
AR			77	1012503-2	POLYURETHANE POTTING COMPOUND	
4			76	1010476-232	INSULATION SLEEVING	
AR			75	1012503-1	POLYURETHANE POTTING COMPOUND	
	1		74	1014538	COVER (INSEP ASSY)	
	1		73	1014701	HOUSING ASSY, MATCHED MACHINED	
	2		72	1014695	PLUNGER ASSY, TRUNNION AXIS	
	2		71	MS35233-7	SCREW, MACHINE PAN HEAD	
	4		70	1011625-11	SCREW, CAP SOCKET HEAD	
AR	AR	AR	69	MIL-S-22473 GRADE C	SEALING COMPOUNDS, RETAINING	
AR	AR	AR	68	1010750	CURING AGENT, POLYAMIDE (ES-2760)	
AR	AR	AR	67	1010749	FILLER, CALCIUM CARBONATE	
AR	AR	AR	66	1010748	RESIN, EPOXY (ES-2779)	
AR	AR	AR	65	1010718	PRIMER, SILICONE ADHESIVE	
8	14	8	64	MS15795-302	WASHER – FLAT	
2	2	2	63	1011625-15	SCREW, CAP, SOC. HD.	
2		2	62	NAS1352CO2LL8	SCREW, CAP SOCKET HEAD	
4	4	4	61	1011625-13	SCREW, CAP SOCKET HEAD	
4		4	60	NAS1352CO2LL4	SCREW, CAP SOCKET HEAD	
	1		59	1014535	GEAR SECTOR 55T (FULL GEAR) 96P	
	1		58	1014536	SHAFT, HANDLE	
	2		57	1014694	PLUNGER ASSY, SHAFT AXIS	
	1		56	1014533	CAM, SECTOR	
	1		55	1010617-1	NUT – HEX SELF LOCKING	
AR	AR	AR	54	MIL-M-7866	MOLYBDENUM DISULFIDE POWDER	
	AR	AR	53	1010490-082	INSULATION SLEEVING	
AR	AR	AR	52	MIL-T-713 TYPE P, CLASS 2	TAPE	
AR	AR	AR	51	QQ-S-571 SN10	SOLDER	
2	2	2	50	1010606-1	INSULATOR SWITCH	
X	X	X	REF	1014522	WIRING DIAGRAM	
X	X	X	REF	1014540	SCHEMATIC DIAGRAM, ELEC	
			47			
	AR	AR	46	MIL-S-40083 (ORD) CLASS 10	LIQUID LOCK (ES-2544-1)	X
	AR	AR	45	MIL-S-40083 (ORD) CLASS 30	LIQUID LOCK (ES-2544-5)	X
AR	AR	AR	44	MIL-A-25457	ADHESIVE – SILICONE RUBBER (ES-2531)	
	AR	AR	43	MIL-A-9067	EPOXY ADHESIVE (ES-2539-1)	X
AR	AR	AR	42	MIL-F-14256 or QQ-S-571 TYPE AR	FLUX (ES-2798 OR ES-2175 TYPE 2)	
AR	AR	AR	41	QQ-S-571 SN60	SOLDER (ES-2175 ALLOY 1)	
AR	AR	AR	40	1006776-18	INSULATION, SLEEVING ELEC	
1	1	1	39	1014521	WIRE LIST “AA”	
2	2	2	38	1010618-13	SCREW – BUTTON HD SELF LKG SOC HEX	
2	2	2	37	1011918-1	WASHER – CABLE CLAMP	
1	1	1	36	1000220-7	CLAMP – CABLE	
2	2	2	35	1010316	CAPACITOR, FIXED (SEE DRAWING NOTE 8)	
1	1	1	34	1000220-4	CLAMP – CABLE	
AR	AR	AR	33	1006776-11	INSULATION, SLEEVING ELEC	
1	1	1	32	1014514-011	COMPONENT BOARD ASSEMBLY	
			31			
6	6	6	30	1010618-1	SCREW – BUTTON HD SELF LKG SOC HEX	
8	8	8	29	1010628-1	SCREW – FLAT HD SELF LKG SOC HEX	
7	7	7	28	1010618-2	SCREW – BUTTON HD SELF LKG SOC HEX	
4	4	4	27	MS35649-24	NUT – HEX	
			26			
2	1	2	25	1010618-15	SCREW – BUTTON HD SELF LKG SOC HEX	
4	4	4	24	MS15795-701	WASHER – FLAT	
4	4	4	23	1006783-1	SCREW, BUTTON HD, SOC HEX	
1	1	1	22	1010608-1	WASHER – SPRING, CURVED	
6	6	6	21	NAS1352CO4LL4	SCREW, CAP HD, SELF LKG. SOC HEX	
6	6	6	20	1010415-1	CLAMP – SYNCHRO MOUNTING	
2	2	2	19	1010435-001	SWITCH, SENSITIVE	
4	4	4	18	1010418	BUSHING – FLANGED	
4		4	17	1014509-011	SPRING PLUNGER ASSY	
2	2	2	16	1010429	SYNCHRO RESOLVER	
1	1	1	15	1014512	DIAPHRAGM – HAND CONTROLLER	
1	1	1	14	1014563	PLATE BOTTOM	
1		1	13	1014562	COVER ASSY (INSEP)	
2		2	12	1014576	SUPPORT, PLUNGER	
1	1	1	11	1014566	ACTUATOR, SHAFT SWITCH	
1		1	10	1014557	SHAFT, HANDLE	
1	1	1	9	1014575	HANDLE	
1	1	1	8	1014570	SHAFT, HANDLE	
2	2	2	7	1014573	GEAR, SECTOR 72T FULL GEAR 96P	
1		1	6	1014516	GEAR, SECTOR ASSY	
1	1	1	5	1014571	GEAR, SECTOR 55T FULL GEAR 96P	
1	1	1	4	1014574	SHAFT, ACTUATOR ASSEMBLY	
1	1	1	3	1014564	TERMINAL BOARD ASSEMBLY	
1	1	1	2	1014567	GIMBAL ASSEMBLY – MATCHED MACHINED	
1		1	1	1014559	HOUSING ASSEMBLY – MATCHED MACHINED	
						
					PROOFED	
