FIND	0	DRAWING	TITLE	STRIKE
1	17.25 FEET	1010685-4	WIRE (WHT JKT 24AWG WHT.)	
2	13.25 FEET	-5	WIRE (WHT JKT 24AWG WHITE, RED)	
3	8.75 FEET	-6	WIRE (WHT JKT 24AWG WHITE, RED, BLUE)	
4	135 FEET 11 INCHES	-1	WIRE (24AWG WHITE)	
5	4.0 FEET	-2	WIRE (22AWG WHITE)	
6	10	1010490-170	INSULATION SLEEVING HEAT SHRINK	
7	5	-168	INSULATION SLEEVING HEAT SHRINK	
8	159	1010476-82	INSULATION SLEEVING HEAT SHRINK	
9	34	1010490-080	INSULATION SLEEVING HEAT SHRINK	X
10	9	1010402-1	SOLDER SLEEVE	
11	12	-2	SOLDER SLEEVE	
12	12	1010490-172	INSULATION SLEEVING HEAT SHRINK	
13	6	1010650-1	CAP – COLDER, ELECTRICAL CONDUCTOR, INSULATED	
14	102	1010738-1	CONTACT ELECTRICAL	
15	1	1010347-1	CONNECTOR, PLUG, ELECTRICAL	
16	AR	QQ-S-571 SN60	SOLDER (ES-2175 ALLOY 1)	
17	AR	QQ-S-571 TYPE AR or MIL-F-14256	FLUX (ES-2175 TYPE 1 OR 2, OR ES-2798)	
18	1	1010638-6	TERMINAL	
19	AR	MIL-T-713 TYPE P, CLASS 2, BLACK	TAPE	
				
			PROOFED	
