-031	-021	-011	FIND	DRAWING	TITLE
AR			14	MIL-S-22473 GRADE A-A	SEALING COMP. RETAINING
2			13	NAS1081CO2D2L	SCREW – SET, SELF LOCK
1			12	1023060	CAM, SWITCH ACTUATING
2	2		11	1006783-13	SCREW – BUTTON HD.
1	1		10	1010457-5	ACTUATOR
2	2	2	9	1000076-5	NUT – CLINCH
		2	8	1006783-94	SCREW – BUTTON HD.
4	4	4	7	1010477-1	SCREW – FLAT HD
	1	1	6	1010619-1	CLAMP
		1	5	1010457-3	ACTUATOR
1	1	2	4	1010901-1	SWITCH, BASIC
1	1	1	3	1010764-2	RESISTOR – VARIABLE
	1	1	2	1014593	CAM – SWITCH ACTUATING
1	1	1	1	1014582	BRACKET, MOUNTING
					
					PROOFED
