-011	FIND	DRAWING	TITLE
X	REF	1014637	SCHEMATIC
AR	34	1010798-1	POLY-FOAM, BLK
AR	33	-2	POLY-FOAM, BLK
AR	32	1010306	CATALYST
AR	31	1010305	EPOXY RESIN
1	30	1010397-1	TRANSISTOR
1	29	1015024	INSULATOR, PLATE
1	28	1010385	DIODE (FAST SWITCHING)
1	27	1006750-39	RESISTOR
AR	26	1006776-21	INSULATION, SLEEVING, ELECTRICAL
AR	25	1006787-2	WIRE, ELECTRICAL
AR	24	1006757-1	WIRE, ELECTRICAL
2	23	MS35338-78	WASHER, LOCK
2	22	MS15795-303	WASHER, FLAT
2	21	1008069-1	SCREW, SOC HD, EXT RELIEVED BODY
1	20	1010604-38	RESISTOR
1	19	1006750-80	RESISTOR
1	18	-72	RESISTOR
1	17	-46	RESISTOR
	16		
2	15	-25	RESISTOR
1	14	1010279-250	CAPACITOR
1	13	1006753-85	CAPACITOR
1	12	1006755-77	CAPACITOR
1	11	1010372-13	DIODE (VOLTAGE REGULATOR)
1	10	1010357-1	TRANSISTOR
2	9	1010367	TRANSISTOR
1	8	1010454	TRANSFORMER
1	7	1010315-1	TRANSFORMER
1	6	1010291-5	TRANSFORMER
1	5	1010318-2	CONNECTOR
2	4	1015028	SPACER
1	3	1014640	WIRING BOARD, BOTTOM
1	2	1014639	WIRING BOARD, TOP
1	1	1015026	HOUSING
			
			PROOFED
