-021	-011	FIND	DRAWING	TITLE
1		73	1015048-031	ATTITUDE IMPULSE SWITCH ASSY
1		72	2014764-011	HANDLE ASSY
1		71	2014764-021	HANDLE ASSY
		70		
1		69	1014650-30	NAMEPLATE
X		REF	1023070	SCHEMATIC
1		67	1023071	WIRING HARNESS A
1		66	1023072	PANEL, G&N IND. CONT. (INSEP)
1		65	1014591-031	BRACKET & POT ASSY
4	4	64	1010477-13	SCREW, FLAT HD. SELF LOCK
AR	AR	63	1012504-2	PRIMER, METAL
AR	AR	62	-1	PRIMER, METAL
1	1	61	1023003	CAP PUSHBUTTON
	1	60	1023002-001	HANDLE
	1	59	-002	HANDLE
AR	AR	58	MIL-S-22473 GRADE C	SEALING COMPOUND, RETAINING
AR	AR	57	1012503-2	COMPOUND, POLYURETHANE
AR	AR	56	-1	COMPOUND, POLYURETHANE
X	X	REF	PS1014664	SPECIFICATION
	X	REF	1014662	SCHEMATIC DIAGRAM, ELECT
10	10	53	1000220-1 THRU -12	CLAMP, CABLE
8	8	52	1011918-3	WASHER – CABLE CLAMP
2	2	51	-1	WASHER – CABLE CLAMP
13	13	50	1006783-22	SCREW – BUTTON HD.
4	4	49	NAS1081CO6D3L	SCREW – SET, SELF LOCK
3	3	48	1006783-18	SCREW – BUTTON HD.
4	4	47	1010630-25	SCREW – FLAT HD.
10	10	46	1006783-19	SCREW – BUTTON HD.
		45		
8	8	44	1010630-14	SCREW – FLAT HD.
		43		
AR	AR	42	QQ-S-571 SN60WRAP2	SOLDER
AR	AR	41	MIL-F-14256	FLUX (ES-2798)
	10	40	1014503	SCREW – CAPTIVE
2	2	39	1010268-2	LAMP INCANDESCENT
2	2	38	1010625-1	HOLDER, LAMP
2	2	37	1014595	BRACKET, MOUNTING – LAMP
1	1	36	1014594	PLATE, MOUNTING SWITCH
2	2	35	1014587	WINDOW
4	4	34	1014584	GASKET, WINDOW
2	2	33	1014583	CLAMP, WINDOW
2	2	32	1014530	PIN – CONNECTOR
2	2	31	1014528	PIN – PANEL
1	1	30	1014588	WHEEL, POTENTIOMETER
2	2	29	MS16633-4009	RING – RETAINING
1	1	28	1014586	SUPPORT, HAND CONTROLLER
1	1	27	1014651-7	CAP – PUSH BUTTON ILLUMINATED
9	9	26	1010475-1	CAP, PUSHBUTTON
2	2	25	NAS1081CO4D3L	SCREW, SET, SELF LOCK
2	2	24	1014585-003	KNOB, ROTARY SWITCH
1	1	23	1010906-4	SWITCH ASSY, ROTARY
1	1	22	-2	SWITCH ASSY, ROTARY
		21		
1	1	20	1010907-2	SWITCH ASSY, PUSH BUTTON ILLUMINATED
2	2	19	1010904-3	SWITCH ASSY, PUSH BUTTON
4	4	18	-2	SWITCH ASSY, PUSH BUTTON
4	4	17	-1	SWITCH ASSY, PUSH BUTTON
1	1	16	1010489-1	SWITCH ASSY, TOGGLE
1	1	15	1010903-2	SWITCH ASSY, TOGGLE
1	1	14	1010905-2	SWITCH ASSY, TOGGLE
1	1	13	1010905-1	SWITCH ASSY, TOGGLE
1	1	12	1010903-1	SWITCH ASSY, TOGGLE
1	1	11	1010902-2	SWITCH ASSY, TOGGLE
2	2	10	-1	SWITCH ASSY, TOGGLE
1	1	9	1006783-21	SCREW, BUTTON HD
1	1	8	1010624-2	LAMP INCANDESCENT
1	1	7	1010492	TRANSFORMER, POWER
	1	6	1014650-12	NAME PLATE
	1	5	1015048-011	ATTITUDE IMPULSE SWITCH ASSY
1	1	4	1021700-021	SEXTANT HAND CONTROLLER ASSY.
	1	3	1014665	HARNESS
	1	2	1014591-021	BRACKET & POT ASSY
	1	1	1014663	PANEL, G&N IND. CONT. (INSEP)
				
				PROOFED
