FIND	QTY	TITLE	-121	-111	-101	-71	-91	-81	-51	-41	-61	-31	-21	-11	0
															
162	1	RETAINER, SCREW (BOT)	1017577	1017577	1017577			1017577		1017577					
161	1	RETAINER, SCREW (TOP)	1017576	1017576	1017576			1017576		1017576					
160	6	SCREW, CAP SOC HD CAPTIVE	1021289-3	1021289-3	1021289-3			1021289-3		1021289-3					
159	5	SCREW, CAP SOC HD CAPTIVE	1021289-4	1021289-4	1021289-4			1021289-4		1021289-4					
158	7	SCREW, CAP SOC HD, SPECIAL	1017575	1017575	1017575			1017575		1017575					
157	30	SCREW, CAP SOC HD	NAS1352C04LL6	NAS1352C04LL6	NAS1352C04LL6			NAS1352C04LL6		NAS1352C04LL6					
156	10	SEAL, CONNECTOR	1021305	1021305	1021305			1021305		1021305					
155	1	PANEL (INSEP. ASSY)	1021299	1021299	1021299			1021299		1021299					
154	1	FRAME MACHINING ASSY	1021303-011	1021303-011	1021303-011			1021303-011		1021303-011					
153	2	CDU ASSEMBLY	1015500-081	1015500-081	1015500-081			1015500-051							
152	3	CDU ASSEMBLY	1015500-071	1015500-071	1015500-071			1015500-041		1015500-071,5					
151	1	CASE AND PANEL ASSY, CDU	1021302-011	1021302-011	1021302-011			1021302-011		1021302-011					
150	1	COUPLING DISPLAY ASSEMBLY	1021304-031	1021304-031	1021304-031			1021304-011		1021304-041					
149	1	COMPUTER PROGRAM ASSEMBLY	1021108-021	1021108-021					1021106-021						
148	1	ANN PANEL AND EYEPIECE STOWAGE ASSY	1021255-041	1021255-041	1021255-041		1021255-021	1021255-021		1021255-051	1021255-031				
															
116	1	WIRE HARNESS “G”									1008268				
115	1	WIRING HARNESS							2018898						
114	2	SCREW, BUTTON HD, SPLINE SOCKET							1001496-76						
113	1	CLAMP LOOP							1010705-8,2						
112	1	CLAMP LOOP							1010705-6						
111	1	CLAMP LOOP							1010705-5						
110	1	CLAMP LOOP							1010705-4						
															
109	1	CLAMP, HINGED LOOP							1010400-9						
108	2	CLAMP, HINGED LOOP							1010400-4						
107	1	AIRBORNE AMPLIFIER PLATE ASSY							2007208						
106	1	AIRBORNE VIBRATION ASSY							2018899						
105	1	FLIGHT-DATA BOOK													
104	1	SCREW, SOC HD	1000110-307	1000110-307	1000110-307	1000110-307	1000110-307	1000110-307	1000110-307	1000110-307	1000110-307	1000110-307	1000110-307	1000110-307	1000110-307
103	1	BRACKET ASSY, COOLANT	1001591	1001591	1001591	1001591	1001591	1001591	1001591	1001591	1001591	1001591	1001591	1001591	1001591
102	1	CLAMP, COOLANT LINE	1000293	1000293	1000293	1000293	1000293	1000293	1000293	1000293	1000293	1000293	1000293	1000293	1000293
101	1	HOSE ASSY, FLEX, OPT TO S/C	1001469	1001469	1001469	1001469	1001469	1001469	1001469	1001469	1001469	1001469	1001469	1001469	1001469
