0	DRAWING	TITLE	FIND
1	1000220-5	CLAMP, CABLE	20
2	1011750-8	NUT	19
2	1011918-1	WASHER	18
1	1000220-4	CLAMP, CABLE	17
2	1010630-15	SCREW	16
1	MS35649-64	NUT PLAIN HEX	15
1	1010477-24	SCREW, FLAT HD SOC HEX	14
2	-12	SCREW, FLAT HD SOC HEX	13
2	1010676-1	TERMINAL STUD	12
1	1014625	ADAPTER PLATE	11
4	1010477-13	SCREW, FLAT HD, SOC HEX	10
2	1010618-3	SCREW, BUTTON HD, SOC HEX	9
2	1006783-19	SCREW, BUTTON HD, SOC HEX	8
4	1010630-14	SCREW, FLAT HD SOC HEX	7
4	10102842	SCREW, FLAT HD SOC HEX	6
1	1007115	RELAY & DIODE MODULE	5
1	1010486-2	TRANSFORMER	4
1	1014626	WIRING HARNESS A	3
1	1015002	MOUNTING BRACKET CONNECTOR	2
1	1015001	PLATE	1
			
		PROOFED	
