-031	-021	-011	FIND	DRAWING	TITLE
AR			58	1010686	CATALYST
AR			57	1010657	EPOXY, RESIN
AR			56	1012504	PRIMER, METAL PARTS
AR			55	1010718	PRIMER, SILICONE ADHESIVE
AR			54	MIL-A-2545	ADHESIVE, SILICONE
5			53	1021307	GASKET, CONNECTOR
2			52	1010618-26	SCREW, BUTTON HD
1			51	1008329	SPACER BLOCK
1			50	1007461-021	END CONNECTOR ASSEMBLY, PSA
			49		
X	X		REF	1023056	INTERCONNECTION LIST
1	1		47	1023057	WIRING HARNESS A
10	10		46	1010400-1 THRU -18	CLAMP, LOOP, HINGED
		X	REF	1015057	INTERCONNECTION LIST
2	2	2	44	1021253-6	SPACER
2	2	2	43	-5	SPACER
1	1	1	42	-4	SPACER
1	1	1	41	-3	SPACER
2	2	2	40	-2	SPACER
2	2	2	39	-1	SPACER
AR	AR	AR	38	1010679	ADHESIVE ACTIVATOR
AR	AR	AR	37	1010661	EPOXY RESIN
AR	AR	AR	36	1012507-004	LACING TAPE
AR	AR	AR	35	1010798-2	ACTIVATOR
AR	AR	AR	34	-1	RESIN
AR	AR	AR	33	1006835	AGENT, CURING
AR	AR	AR	32	1006834	COMPOUND, SILICONE RUBBER
AR	AR	AR	31	1012507-002	LACING TAPE
1	1	1	30	1021253-8	SPACER
AR	AR	AR	29	1012503	COMPOUND, POTTING, POLYURETHANE
1	1	1	28	1015058	WIRE LIST AA
		1	27	1015055	WIRING HARNESS A
21	21	21	26	1010811-001	BAND, IDENTIFICATION
		1	25	AN345C10	(1897146-110) NUT, PLAIN HEX
		1	24	1014609	BRACKET, CLAMP
		1	23	1010400-8	CLAMP, LOOP, HINGED
1	1	1	22	1021253-7	SPACER
		3	21	1010400-3	CLAMP, LOOP, HINGED
		1	20	-2	CLAMP, LOOP, HINGED
		1	19	-7	CLAMP, LOOP, HINGED
		5	18	-1	CLAMP, LOOP, HINGED
2	2	1	17	1010705-8	CLAMP, LOOP
3	3	3	16	1008232	CAP, PROTECTIVE
4	4	4	15	1008231	CAP, PROTECTIVE
6	6	6	14	1006783-47	SCREW, BUTTON HD
1	1	1	13	1008164	CABLE CLAMP, LEFT
1	1	1	12	1008165	CABLE CLAMP, RIGHT
1	1	1	11	1008148	CONNECTOR PLATE ASSY (264 PIN)
1	1	1	10	1008149	CONNECTOR PLATE ASSY (293 PIN)
3	3	3	9	MS35649-44	NUT, PLAIN HEX
1	1	1	8	1010618-13	SCREW, BUTTON HD
3	3	3	7	-14	SCREW, BUTTON HD
4	4	4	6	MS35335-57	WASHER, LOCK
1	1	1	5	MS35338-081	WASHER, LOCK
8	8	8	4	MS16995-17	SCREW, HEX SOCKET HD
4	4	4	3	MS16995-10	SCREW, HEX SOCKET HD
10	10	10	2	1008163	PIN, LOCATING
	1	1	1	1007461-011	END CONNECTOR ASSEMBLY, PSA
					
					PROOFED
