-31	-21	0	FIND	DRAWING	TITLE	STRIKE
1			34	1015097-021	RELAY & DIODE MODULE	
AR	AR	AR	33	TT-M-261	METHYL ETHYL KETONE	
	1		32	1015097-011	RELAY & DIODE MODULE	
AR	AR	AR	31	MIL-F-14256	FLUX	
AR	AR	AR	30	QQ-S-571 SN60 WRAP2	SOLDER	
1	1		29	1021703	WIRING HARNESS "A"	
X	X		REF	1021738	SCHEMATIC, CONTROL ELECTRONICS	
AR	AR	AR	27	1012504-2	PRIMER, METAL	
AR	AR	AR	26	1012504-1	PRIMER, METAL	
AR	AR	AR	25	1012503-2	COMPOUND POLYURETHANE	
AR	AR	AR	24	1012503-1	COMPOUND POLYURETHANE	
		X	REF	1015066	SCHEMATIC, CONTROL ELECTRONICS	
AR	AR	AR	22	1012051	GREASE, SILICONE	
1	1	1	21	1015078-1	GASKET, CONNECTOR MODULE	
	1	1	20	1000220-5	CLAMP, CABLE	X
2	2	2	19	1011750-8	NUT	
2	2	2	18	1011918-1	WASHER	
2	2	2	17	1000220-4 THRU -6	CLAMP, CABLE	
2	2	2	16	1010630-15	SCREW, FLAT HD, SOC HEX	
1	1	1	15	MS35649-64	NUT, PLAIN HEX	
1	1	1	14	1010477-24	SCREW, FLAT HD, SOC HEX	
2	2	2	13	1010477-12	SCREW, FLAT HD, SOC HEX	
2	2	2	12	1010676-1	TERMINAL STUD	
			11			
2	2	2	10	1010477-13	SCREW, FLAT HD, SOC HEX	
			9			
2	2	2	8	1006783-19	SCREW, BUTTON HD, SOC HEX	
4	4	4	7	1010630-14	SCREW, FLAT HD, SOC HEX	
4	4	4	6	1010284-2	SCREW, FLAT HD, SOC HEX	
		1	5	1015039-011	RELAY DIODE MODULE	
1	1	1	4	1010486-2	TRANSFORMER	
		1	3	1015037	WIRING HARNESS A	
1	1	1	2	1015002	MOUNTING BRACKET CONNECTOR	
1	1	1	1	1015082	PLATE	
						
					PROOFED	
