-101	-91	-81	-71	-61	-51	-41	-31	-21	-11	FIND	DRAWING	TITLE
1	1	1								18	1015076-021	BASE ASSEMBLY
4	4	4		4	4					17	MS15795-303	WASHER, FLAT
4	4	4		4	4					16	1023032	SCREW, SOCKET HD SPECIAL
AR	AR	AR		AR	AR					15	MIL-S-22473	SEALING COMP, RETAINING GRADE C
1	1	1		1	1					14	1023036-011	RELAY AND DIOD MODULE
X	X	X		X	X	X				REF	1023024	SCHEMATIC
							X			REF	1023023	SCHEMATIC
	1	1		1	1	1	1			11	1015038-021	TIME DELAY ASSEMBLY
									X	REF	1015069	SCHEMATIC
								X		REF	1021705	SCHEMATIC
3	3			3		3		3		8	1014638-011	DEMODULATOR ATT. ERROR
AR	AR	AR		AR	AR	AR	AR	AR	AR	7	1012051	GREASE SILICONE
1	1	1		1	1	1	1	1	1	6	1015078-002	GASKET, CONNECTOR MODULE
4	4	4		4	4	4	4	4	4	5	1015078-003	GASKET, CONNECTOR MODULE
1								1	1	4	1015038-011	40 SECOND TIME DELAY ASSY
						1	1	1	1	3	1015036-011	RELAY AND DIOD MODULE
		3			3		3		3	2	1007034-011	DEMODULATOR ATTITUDE ERROR
				1	1	1	1	1	1	1	1015076-011	BASE ASSEMBLY
												
												PROOFED
