-011	DRAWING	TITLE	FIND
X	1015069	SCHEMATIC D AND C ELECTRONICS	REF
AR	1010798-1	POLYURETHANE FOAM	25
AR	-2	POLYURETHANE FOAM	24
AR	MIL-F-14256	FLUX (ES-2798)	23
			
AR	QQ-S-571 SN60 WRAP 2	SOLDER	22
1	1010812-3	GASKET	21
108	1010738-5	PIN, CONTACT	20
1	1014636	SCREW SOCKET HEAD CAP	19
1	MS25036-44	TERMINAL LUG	18
AR	1010416-30	WIRE, ELECTRICAL STRD INSULATED	17
AR	-20	WIRE, ELECTRICAL STRD INSULATED	16
3	MS35338-78	WASHER, LOCK	15
2	MS15795-304	WASHER, FLAT	14
2	MS16995-10	SCREW SOCKET HEAD CAP	13
1	1010823-1	CONNECTOR, PLUG, ELECTRICAL	12
10	MS35338-77	WASHER, LOCK	11
10	MS16995-3	SCREW SOCKET HEAD CAP	10
1	1010615-1	CONNECTOR, PLUG, ELECTRICAL	9
4	1010613-1	CONNECTOR, PLUG, ELECTRICAL	8
4	NAS1022-CO6	NUT, SELF-LOCKING	7
1	1010455	SATURABLE REACTOR	6
15	1010623-3	TERMINAL, TURRET	5
4	MS35338-81	WASHER, LOCK	4
4	MS15795-308	WASHER, FLAT	3
4	1008083-1	SCREW, SOC HD EXT RELIEVED BODY	2
1	1015080	HOUSING, BASE ASSEMBLY	1
			
		PROOFED	
