FIND	0	DRAWING	TITLE
1	67' 4"	1010789-011	WIRE
2	338' 4"	-012	WIRE
3	47'	-013	WIRE
4	610' 11"	-001	WIRE
5	128' 1"	-006	WIRE
6	22'	1010707-1	WIRE
7	156'	1010789-002	WIRE
8	362' 2"	-003	WIRE
9	72' 9"	-004	WIRE
10	30' 4"	-005	WIRE
11	16'	-008	WIRE
12	6' 8"	-009	WIRE
13	12' 8"	-010	WIRE
14	3'	QQ-B-575 SIZE 2/8 ID 36GA	WIRE, BRAID
15	3'	QQ-B-375 SIZE ½ ID 36 GA	WIRE, BRAID
16	1	1021714-1	CONNECTOR PLUG, ELECTRICAL
17	1	-2	CONNECTOR PLUG, ELECTRICAL
18	1	1010674-1	CONNECTOR PLUG, ELECTRICAL
19	1	-2	CONNECTOR PLUG, ELECTRICAL
20	1	-3	CONNECTOR PLUG, ELECTRICAL
21	1	-4	CONNECTOR PLUG, ELECTRICAL
22	1	1010771-201	CONNECTOR PLUG, ELECTRICAL
23	1	-207	CONNECTOR PLUG, ELECTRICAL
24	1	1010809-001	CONNECTOR RECP, ELECTRICAL
25	1	1010822-3	CONNECTOR RECP, ELECTRICAL
26	1	-5	CONNECTOR RECP, ELECTRICAL
27	1	1010824-1	CONNECTOR RECP, ELECTRICAL
28	5	-2	CONNECTOR RECP, ELECTRICAL
29	1	-3	CONNECTOR RECP, ELECTRICAL
30	1	-4	CONNECTOR RECP, ELECTRICAL
31	1	-5	CONNECTOR RECP, ELECTRICAL
32	1	1010844-002	CONNECTOR RECP, ELECTRICAL
36	1	1010856-1	CONNECTOR RECP, ELECTRICAL
37	1	1010860-1	CONNECTOR RECP, ELECTRICAL
38	1358	1010738-6	CONTACT, SOCKET
39	255	1010770-2	CONTACT, SOCKET
40	292	1010743-1	WRAPOST RECEPTACLE
41	172	-2	WRAPOST RECEPTACLE
42	93	-3	WRAPOST RECEPTACLE
43	26	1010402-1	SLEEVE, SOLDER
44	135	-2	SLEEVE, SOLDER
45	1	1000242-24	FERRULE, OUTER ELECT CONT
46	1	-27	FERRULE, OUTER ELECT CONT
47	1	-30	FERRULE, OUTER ELECT CONT
48	1	-33	FERRULE, OUTER ELECT CONT
49	1	1000243-26	FERRULE, INNER ELEC CONT
50	1	-30	FERRULE, INNER ELEC CONT
51	1	-34	FERRULE, INNER ELEC CONT
52	1	-36	FERRULE, INNER ELEC CONT
53			
54	124	1010490-110	INSULATION-SLEEVING, ELEC HEAT SHRINKABLE (WHITE)
55	27	-112	INSULATION-SLEEVING, ELEC HEAT SHRINKABLE (WHITE)
56			
58			
61			
62			
63			
64			
65	AR	1012507-2	LACING TAPE, DACRON, BLACK, 0.05" WIDE
66	AR	-4	LACING TAPE, DACRON, BLACK, 0.09" WIDE
67	1	1023012-1	COUPLING, ADAPTER
68	1	-2	COUPLING, ADAPTER
70	270	1010911-044	INSULATION-SLEEVING, ELEC HEAT SHRINKABLE (CLEAR)
72	315	-052	INSULATION-SLEEVING, ELEC HEAT SHRINKABLE (CLEAR)
73	6	1012534-005	INSULATION-SLEEVING ELEC HEAT SHRINKABLE
74	AR	MIL-T-23594	TAPE, TEFLON TYPE II
75	66	1010958-1	PLUGS, SEALING
			
			PROOFED
