FIND	0	DRAWING	TITLE
1	9 FEET 5.5 INCHES	1010789-11	WIRE YEL JKT 24 AWG YEL
2	10 FEET 7 INCHES	-12	WIRE YEL JKT 24 AWG YEL, RED
3	8 FEET 9.3 INCHES	-13	WIRE YEL JKT 24AWG YEL, RED, GREEN
4	134 FEET 4.6 INCHES	-1	WIRE 24AWG YELLOW
5	3 FEET 11 INCHES	-6	WIRE 22AWG YELLO
6	7	1010490-170	INSULATION SLEEVING HEAT SHRINK
7	5	-168	INSULATION SLEEVING HEAT SHRINK
8	149	1010476-82	INSULATION SLEEVING HEAT SHRINK
9	AR	1012507-1	LACING TAPE (WHITE)
10	5	1010402-1	SOLDER SLEEVE
11	18	-2	SOLDER SLEEVE
12	5	1010490-172	INSULATION SLEEVING HEAT SHRINK
13	1	1010812-3	SEAL, CONNECTOR
14	108	1010738-5	CONTACT, ELECTRICAL
15	1	1010825-4	CONNECTOR, PLUG, ELECTRICAL (108 PIN)
16	AR	QQ-S-571 SN60 WRAP2	SOLDER (ES-2175 ALLOY 1)
17	AR	MIL-F-14256	FLUX
18	1	1010638-6	TERMINAL
19	AR	1012503-1	COMPOUND POLYRETHANE
20	AR	-2	COMPOUND POLYRETHANE
21	AR	1012504-1	PRIMER METAL
22	AR	-2	PRIMER METAL
23	AR	1012505-1	PRIMER PVD
			
			PROOFED
