-011	FIND	DRAWING	TITLE
AR	35	1012504-2	PRIMER, METAL
AR	34	-1	PRIMER, METAL
AR	33	1012503-2	COMPOUND POLYURETHANE
AR	32	-1	COMPOUND POLYURETHANE
X	REF	1015096	SCHEMATIC DIAGRAM
AR	30	QQ-S-571 SN60 WRAP2	SOLDER (ES-2175 ALLOY 1)
AR	29	MIL-F-14256	FLUX (ES-2798
			
	28		
	27		
1	26	1014650-11	NAMEPLATE
1	25	1006783-21	SCREW, BUTTON HD
2	24	MS16633-4009	RING, RETAINING, EXTERNAL
9	23	1006783-22	SCREW, BUTTON HD
	22		
2	21	1011918-3	WASHER – CABLE CLAMP
1	20	1000220-6	CLAMP – CABLE
1	19	-5	CLAMP – CABLE
4	18	1014503	SCREW – CAPTIVE, CAP
1	17	1015035	WIRE HARNESS
1	16	1010475-1	CAP, PUSHBUTTON
1	15	1010480-1	SWITCH, PUSH BUTTON
1	14	1010484-1	SWITCH, TOGGLE
1	13	1014651-6	CAP – ILLUMINATED, PUSH BUTTON
1	12	-5	CAP – ILLUMINATED, PUSH BUTTON
1	11	-4	CAP – ILLUMINATED, PUSH BUTTON
1	10	-3	CAP – ILLUMINATED, PUSH BUTTON
1	9	-2	CAP – ILLUMINATED, PUSH BUTTON
1	8	-1	CAP – ILLUMINATED, PUSH BUTTON
6	7	1010624-2	LAMP, INCANDESCENT
6	6	1010627-1	SWITCH, PUSH BUTTON
1	5	1010336	METER, ELECTRICAL INDICATING
2	4	1014530	PIN – CONNECTOR
1	3	1014529	PLATE – SWITCH
2	2	1014528	PIN – PANEL
1	1	1014627	PANEL – IMU CONTROL (INSEP)
			
			PROOFED
