FIND	0	DRAWING	TITLE
22	2	1010374-20	RESISTOR, FIXED
21	4	1010364-739	RESISTOR, FIXED
20	AR	1006757-1	WIRE, NICKEL RIBBON .010 X .020
19	AR	1006776-21	SLEEVING, ELECT. INSULATING
18	AR	-20	SLEEVING, ELECT. INSULATING
17	AR	1006787-2	WIRE, FEED THROUGH #24 AWG
16	28	1006775	INSULATOR, WRAPOST – MALE MIN
15	28	1006782-5	CONTACT, BLADE EDGE CONNECTOR
14	1	1010372-18	SEMICONDUCTOR DEVICE, DIODE
13	4	1010397-1	TRANSISTOR
12	1	1006755-79	CAPACITOR, FIXED
11	4	-65	CAPACITOR, FIXED
10	1	1006760-50	RESISTOR, FIXED
9	4	1006750-67	RESISTOR, FIXED
8	8	1010364-769	RESISTOR, FIXED
7	2	-673	RESISTOR, FIXED
6	4	-687	RESISTOR, FIXED
5	4	MS35216-3	SCREW 1/4 #2-56 NC
4	1	1015132	WAFER BOARD, LOWER
3	1	1015133	WAFER BOARD, UPPER
2	3	1015118	SHIELD
1	1	1015115	FRAME, MODULE
			
			PROOFED
