FIND	0	DRAWING	TITLE
48	AR	1006776-22	INSULATION SLEEVING
47	1	1006750-57	RESISTOR – FIXED
46	1	1006755-15	CAPACITOR
45	1	1006750 SEE DRAWING NOTE 9	RESISTOR – FIXED
44	1	1010359 SEE DRAWING NOTE 9	CAPACITOR
43	AR	1006776-20	INSULATION SLEEVING
42	14	1006775	INSULATOR, WRAPOST – MALE MIN.
41	AR	1006787-2	WIRE – FEED THRU #24 AWG
40	1	1010365	TRANSFORMER
39	2	1010276	TRANSFORMER
38	1	1010269-2	TRANSISTOR (MATCHED PAIR)
37	1	1010357	TRANSISTOR
36	2	1010398-1	TRANSISTOR
35	2	1010397	TRANSISTOR
34	3	1010370	DIODE
33	1	1010372-24	DIODE
32	2	1010279-218	CAPACITOR
31	14	1006782-5	CONTACT, BLADE EDGE CONNECTOR
30	1	1006755-69	CAPACITOR
29	1	1010375-124	CAPACITOR
28	1	1010359-17	CAPACITOR
27	1	1010279-226	CAPACITOR
26	1	1006755-29	CAPACITOR
25	1	1010438-102	CAPACITOR
24	2	1006755-13	CAPACITOR
23	1	1010375 SEE DRAWING NOTE 9	CAPACITOR
22	2	1010389-8	RESISTOR – FIXED
21	1	1006760-48	RESISTOR – FIXED
20	1	1006750-78	RESISTOR – FIXED
19	1	-31	RESISTOR – FIXED
18	2	-73	RESISTOR – FIXED
17	2	-39	RESISTOR – FIXED
16	1	-61	RESISTOR – FIXED
15	1	-71	RESISTOR – FIXED
14	1	-15	RESISTOR – FIXED
13	2	-43	RESISTOR – FIXED
12	2	-56	RESISTOR – FIXED
11	1	-8	RESISTOR – FIXED
10	AR	1006776-21	INSULATION SLEEVING
9	AR	1006757-1	WIRE, NICKEL RIBBON
8	2	AN500D-2-4	SCREW
7	1	1015135-017	SPACER
6	1	AN500D-4-4	SCREW, PAN HEAD
5	1	AN500D-4-12	SCREW, PAN HEAD
4	1	1015131	SPACER
3	1	1015140	WAFER BOARD, UPPER
2	1	1015139	WAFER BOARD, LOWER
1	1	1015128	FRAME ASSEMBLY
			
			PROOFED
