FIND	0	DRAWING	TITLE
27	AR	1006776-20	SLEEVING, ELECT. INSULATING
26	6	1010461	SHIELD, MAGNETIC
25	2	AN500D-4-4	SCREW
24	4	AN500D-2-4	SCREW
23	2	1015135-016	SPACER
22	AR	1006757-1	WIRE, NICKEL RIBBON .010 X .020
21	AR	1006776-21	SLEEVING, ELECT. INSULATING
20	AR	-22	SLEEVING, ELECT. INSULATING
19	AR	1006787-2	WIRE, FEED THROUGH #24 AWG
18	41	1006775	INSULATOR, WRAPOST – MALE MIN
17	41	1006782-5	CONTACT, BLADE EDGE CONN
16	6	1010342	TRANSISTOR
15	6	1010329-1	TRANSFORMER
14	1	1010265-13	SEMICONDUCTOR DEVICE DIODE
13	6	1010359-29	CAPACITOR
12	1	1006755-84	CAPACITOR
11	12	-69	CAPACITOR
10	6	1006750-51	RESISTOR
9	1	-26	RESISTOR
8	5	1010374-54	RESISTOR
7	11	-29	RESISTOR
6	6	-1	RESISTOR
5	6	1010364-765	RESISTOR
4	6	-719	RESISTOR
3	1	1015732	WAFER BOARD, LOWER
2	1	1015733	WAFER BOARD, UPPER
1	1	1015734	FRAME, MODULE
			
			PROOFED
