-081	-071	-061	-051	-041	-031	-021	-011	FIND	DRAWING	TITLE
AR	AR							125	1017555-001	SHIM
1	1							124	1017580	PLATE, INSTRUCTION
2	2							123	1017578	STUD – SPECIAL
1	1							122	1017579	BRACKET, CONNECTOR
		1						121	1014650-33	NAMEPLATE (SEE DRAWING NOTE 16)
AR	AR	AR	AR	AR				120	2021529	ADHESIVE – EPOXY
1			1					119	1014650-28	NAMEPLATE (SEE DRAWING NOTE 16)
	1			1				118	1014650-21	NAMEPLATE (SEE DRAWING NOTE 16)
2	2		2	2				117	1010617-2	NUT – HEX, SELF-LOCKING
2	2		2	2				116	2010723	WASHER – SPECIAL
			2	2				115	2010722	STUD, SPECIAL
					1			114	1014650-15	NAMEPLATE (SEE DRAWING NOTE 16)
3			3		3			113	1017563	SET SCREW
1			1		1			112	1017562-011	TERMINAL BOARD ASSY (INSEP)
1			1		1			111	1017561-011	MOTOR TACH & PIN ASSY
X			X		X			REF	1017560	WIRING DIAGRAM
X			X		X			REF	1017559	SCHEMATIC DIAGRAM, ELECT.
1			1		1			108	1017558	WIRING HARNESS A
1			1		1			107	1017557	CLAMP, GEAR
		1	1	1	1	1		106	1017569	BRACKET, CONNECTOR
	4	4		4		4	4	105	1010901-002	SWITCH, SENSITIVE
1	1	1	1	1	1	1		104	1015666-031	WEDGE LIGHTING ASSY
AR	AR	AR	AR	AR	AR	AR	AR	103	MIL-S-22473 GRADE C	SEALING COMPOUND, RETAINING (ES2544-3)
		AR			AR	AR		102	1010750	CURING AGENT, POLYAMIDE
		AR			AR	AR		101	1010748	RESIN, EPOXY
AR	AR	AR			AR	AR		100	1017555	SHIM
					AR	AR		99	1012051	GREASE SILICONE (GE-G-300)
2	2	2	2	2	2	2	2	98	MS35233-6	SCREW, PAN HD.
		1			1	1		97	1010812-3	GASKET, MOISTURE SEAL
	X	X		X		X		REF	1017545	WIRING DIAGRAM
	X	X		X		X		REF	1017544	SCHEMATIC DIAGRAM
							X	REF	1015670	WIRING DIAGRAM
							X	REF	1010036	SCHEMATIC DIAGRAM, ELECT.
X	X	X	X	X	X	X	X	REF	1015550	SCHEMATIC DIAGRAM, MECH.
AR	AR	AR	AR	AR	AR	AR		91	1012505	PRIMER
AR	AR	AR	AR	AR	AR	AR		90	1012504	PRIMER
AR	AR	AR	AR	AR	AR	AR		89	1012503	COMPOUND, POLYURETHANE
						1		88	1014650-14	NAMEPLATE (SEE DRAWING NOTE 16)
1	1	1	1	1	1	1		87	1017516	DIGITAL CORE ASSY
	1	1		1		1		86	1017551-011	MOTOR TACH & PIN ASSY
1	1	1	1	1	1	1		85	1017550-011	RESOLVER & PIN ASSY 16X
1	1	1	1	1	1	1		84	1017547-011	RESOLVER & PIN ASSY 1/4X
1	1	1	1	1	1	1		83	1017549-011	RESOLVER & PIN ASSY 1X
1	1	1	1	1	1	1		82	1017548-011	RESOLVER & PIN ASSY 1/2X
	1	1		1		1		81	1017541	WIRING HARNESS A
1	1	1	1	1	1	1		80	1015665-021	HOUSING & CLAMP ASSY
								79		
1	1	1	1	1	1	1		78	1017543	MOUNTING BOARD (INSEP ASSY)
20	20	20	20	20	20	20		77	NAS1352CO2-4	SCREW, CAP, SOC HD
AR	AR	AR	AR	AR	AR	AR	AR	76	1012050	OIL, SILICONE (GE F-50)
	AR	AR		AR		AR	AR	75	AN960C3	WASHER – FLAT
							1	74	1014650-4	NAMEPLATE (SEE DRAWING NOTE 16)
	1	1		1		1	1	73	MS15795-702	WASHER – PLAIN
4	4	4	4	4	4	4	4	72	NAS1352-CO2LL3	SCREW, CAP, SOC HD
	1	1		1		1	1	71	1010468-4	SCREW, CAP, SOC HD
2	1	1	2	1	2	1	1	70	1011625-13	SCREW, CAP, SOC HD
	1	1		1		1	1	69	1000220-7	CLAMP – CABLE
4	4	4	4	4	4	4	4	68	1016896	SPACER
							1	67	1016898	MOUNTING BOARD (INSEP ASSY)
							1	66	1016897	WIRING HARNESS A
								65		
	4	4		4		4	4	64	1010468-1	SCREW, CAP, SOC HD
								63		
	2	2		2		2	2	62	1010457-1	MICROSWITCH ACTUATOR
								61		
							1	60	1015559	DIGITAL CORE ASSY
8	8	8	8	8	8	8	8	59	NAS1351COOLL2	SCREW, CAP, SOC HD
							1	58	1015673	RESOLVER, 16X – CDU
							1	57	1015674	MOTOR TACH – CDU
2	2	2	2	2	2	2	2	56	1010967-10	BALL BEARING
16	16	16	16	16	16	16	16	55	-6	BALL BEARING
1	1	1	1	1	1	1	1	54	1015680	GASKET, WEDGE, LIGHT
								53		
		2			2	2	2	52	AN505DD4-6	SCREW, FLAT HD
3	3	3	3	3	3	3	3	51	1010468-2	SCREW, CAP, SOC HD
							20	50	NAS1352C02LL-4	SCREW, CAP, SOC HD
		2			2	2	2	49	MS20365D-440	NUT, SELF LOCKING
	1	1		1		1	1	48	NAS1081CO2A2N	SCREW – SET
								47		
1	1	1	1	1	1	1	1	46	1015664	WASHER, SPECIAL
8	8	8	8	8	8	8	8	45	MS21269-A115	SCREW, INST, PAN HD
6	6	6	6	6	6	6	6	44	MS21268-A110	SCREW, INST, FIL HD
3	3	3	3	3	3	3	3	43	MS21268-A112	SCREW, INST, FIL HD
1	1	1	1	1	1	1	1	42	NAS1351COOLL4	SCREW, CAP, SOC HD
1	1	1	1	1	1	1	1	41	1016892	COVER, TERMINAL BOARD
								40		
	1	1		1		1	1	39	MS16555-606	PIN, STRAIGHT
							1	38	1015681	RESOLVER, 1X – CDU
1	1	1	1	1	1	1	1	37	1015512	CLAMP, SCREW
							1	36	1016890	RESOLVER, 1/2X – CDU
							1	35	1015672	RESOLVER, 1/4X – CDU
3	3	3	3	3	3	3	3	34	1015548	SPACER, SLEW SWITCH
	1	1		1		1	1	33	1015547	TOGGLE, SWITCH
1	1	1	1	1	1	1	1	32	1015683	BRACKET, SLEWING SW (INSEP ASSY)
	3	3		3		3	3	31	1015663	SET SCREW
1	1	1	1	1	1	1	1	30	1015538-2	CLAMP, MOTOR MODIFIED
12	12	12	12	12	12	12	12	29	1015543	SET SCREW
4	4	4	4	4	4	4	4	28	1015542	CLAMP, SYNCHRO
1	1	1	1	1	1	1	1	27	1015541	CLAMP, SYNCHRO MODIFIED
1	1	1	1	1	1	1	1	26	1015540	CLAMP, SYNCHRO MODIFIED
3	3	3	3	3	3	3	3	25	1015539	CLAMP, MOTOR
1	1	1	1	1	1	1	1	24	1015538-1	CLAMP, MOTOR MODIFIED
	1	1		1		1	1	23	1015537	FLYWHEEL
1	1	1	1	1	1	1	1	22	1015536	GEAR, SPUR
1	1	1	1	1	1	1	1	21	1015535	DIAL, 1 SPEED
1	1	1	1	1	1	1	1	20	1015534	DIAL, 36 SPEED
1	1	1	1	1	1	1	1	19	1015533	DIAL, 1800 SPEED
4	4	4	4	4	4	4	4	18	1015532	CLAMP, GEAR
1	1	1	1	1	1	1	1	17	1015531	GEAR, SYNCHRO
1	1	1	1	1	1	1	1	16	1015530	GEAR, SYNCHRO
2	2	2	2	2	2	2	2	15	1015529	GEAR, SYNCHRO
1	1	1	1	1	1	1	1	14	1015528	GEAR, CLUSTER, SPUR
1	1	1	1	1	1	1	1	13	1015527	GEAR, CLUSTER, SPUR
1	1	1	1	1	1	1	1	12	1015526	GEAR, CLUSTER, SPUR
1	1	1	1	1	1	1	1	11	2015525	GEAR, CLUSTER, SPUR
1	1	1	1	1	1	1	1	10	1015524	GEAR, CLUSTER, SPUR
1	1	1	1	1	1	1	1	9	1015523	GEAR, CLUSTER, SPUR
1	1	1	1	1	1	1	1	8	1015522	GEAR, SPUR
1	1	1	1	1	1	1	1	7	1015521	ADJUSTMENT, WHEEL
1	1	1	1	1	1	1	1	6	1015520	GEAR, CLUSTER, SPUR
1	1	1	1	1	1	1	1	5	1015517-011	PILOT SHAFT ASSY (INSEP)
	1	1		1		1	1	4	1016894	TERMINAL BOARD ASSY (INSEP)
							1	3	1015668	BRACKET, CONNECTOR
							1	2	1015666-011	WEDGE LIGHTING ASSY
							1	1	1015665-011	HOUSING & CLAMP ASSY
										
										PROOFED
