-021	-011	FIND	DRAWING	TITLE
AR		25	1010767-4	ENAMEL, SILK SCREEN (BLACK)
AR		24	MIL-S-22473 GRADE AA	SEALING COMPOUND (ES-2544-11)
1		23	1017554	PLUG
4		22	NAS1352CO2-6	SCREW, SOC HD CAP
2	2	21	1015516	COVER, SYNCHRO MOUNT
6	6	20	AN510CO-2	SCREW – FLAT HD
		19		
	4	18	NAS1352CO2LL6	SCREW – SOC HD CAP
2	2	17	MS16555-601	PIN – STRAIGHT
		16		
		15		
2	2	14	1010468-3	SCREW – SOC HD CAP
		13		
6	6	12	NAS1352CO2LL4	SCREW – SOC HD CAP
6	6	11	MS21268-A112	SCREW – FILL HD
4	4	10	MS16555-602	PIN – STRAIGHT
4	4	9	1017539-078	PIN – TAPER
2	2	8	1015509	PIN – TAPER #1
2	2	7	1015508	BEARING SUPPORT
1	1	6	1015507	CAP – MOUNTING
1	1	5	1015506	INTERNAL SUPPORT SPACER
1	1	4	1015505	SUPPORT BASE
1	1	3	1015504	MOUNTING PAD
1	1	2	1015503	COVER, SYNCHRO MOUNT
1	1	1	1015662-011	BASE ASSEMBLY
				
				PROOFED
