-031	-021	-011	FIND	DRAWING	TITLE	STRIKE
1			31	1017553	FRAME, WEDGE LIGHTING ASSY	
	AR		30	1012503	COMPOUND POLYURETHANE	
	AR		29	1012504	PRIMER	
2	2		28	1010738-5	PIN – CONTACT, CRIMP TYPE	
1	1		27	1017540	WINDOW, INNER	
AR	AR	AR	26	1010701	CATALYST, SRC 05	
AR	AR	AR	25	1010700	RESIN, LTV 602	
AR	AR	AR	24	1010679	ADHESIVE ACTIVATOR	
AR	AR	AR	23	1010661	EPOXY RESIN	
AR	AR	AR	22	1010702	ETCHING SOLUTION, TEFLON	
AR	AR	AR	21	1010304	CURING AGENT, AMINE	
AR	AR	AR	20	1010681	CURING AGENT, CLEAR	
AR	AR	AR	19	1010663	ENCAPSULANT, EPOXY RESIN, CLEAR	
		AR	18	1006776-84	INSULATION, SLEEVING, ELECT	X
AR	AR	AR	17	1010490-989	INSULATION SLEEVING HEAT SHRINK SIZE 24	
			16			
			15			
			14			
			13			
12"	12"	12"	12	MIL-W-16878 E26 WHITE	WIRE	
			11			
AR	AR	AR	10	QQ-S-571 SN60 WARP2	SOLDER	
		2	9	1010738-1	PIN – CONTACT, CRIMP TYPE	
			8			
12"	12"	12"	7	MIL-W-16878 E26 BLACK	WIRE	
3	3	3	6	1010493	LAMP – MINIATURE	
1	1	1	5	1015679	SEPARATOR	
1	1	1	4	1015678	GASKET	
		1	3	1015677	WINDOW – INNER	
1	1	1	2	1015676	WINDOW – OUTER	
	1	1	1	1015675	FRAME	
						
					PROOFED	
