-011	FIND	DRAWING	TITLE	STRIKE
1	32	1008553	GASKET	
1	31	1008552	GASKET	
AR	30	MIL-I-15126 TYPE MFT 2.5, 0.38 WIDE	MYLAR TAPE	
1	29	1021205-006	RECEPTACLE, DS TYPE	
1	28	1021236	WIRING HARNESS E	
X	REF	1008455	WIRING DIAGRAM	
1	26	1015768	WIRE LIST AA	
1	25	1015767	WIRING HARNESS D	
1	24	1015766	WIRING HARNESS C	
1	23	1015765	WIRING HARNESS B	
1	22	1015764	WIRING HARNESS A	
1	21	1007110	BUFFER RESISTORS ASSEMBLY	
45	20	1006782-2	CONTACT, WRAPOST, MALE MIN	
45	19	1006775	INSULATOR, WRAPOST, MALE MIN	
2	18	MS21045CO4	NUT, SELF-LOCKING HEX	
2	17	MS16995-11	SCREW, CAP, SOCKET HEAD	
3	16	MS16995-10	SCREW, CAP, SOCKET HEAD	
50	15	1004206	WASHER, THRUST	X
25	14	MS171433	PIN, SPRING	X
1	13	1008099-2	WASHER	
25	12	1004207	DRIVE SYLINDER	X
1	11	1008098	SCREW, SOCKET HEAD	
25	10	1008095	SCREW, JACK	X
1	9	1001317	RETAINER, JACK SCREW	
2	8	1010620-2	PIN, GUIDE	
16	7	MS16556-604	PIN, GUIDE	
1	6	1010622-1	CONNECTOR, RECEPTACLE	
60	5	1010383-1	INSULATOR, WRAPOST MALE	
60	4	1010382-1	CONTACT, BLADE EDGE CONNECTOR	
151	3	1006781-2	CONTACT, WRAPOST, FEMALE MIN	
151	2	1006774	INSULATOR, WRAPOST, FEMALE MIN	
1	1	1021206	FRAME	
				
			PROOFED	
