-011	FIND	DRAWING	TITLE	STRIKE
1	34	1008553	GASKET	
1	33	1008552	GASKET	
1	32	1021204-007	CONTACT	
X	REF	1008456	WIRING DIAGRAM	
AR	30	MIL-I-15126 TYPE MFT 2.5, 0.38 WIDE	MYLAR TAPE	
1	29	1021205-001	RECEPTACLE DS TYPE	
1	28	1015758	WIRE LIST AA	
1	27	1021237	WIRING HARNESS E	
1	26	1015757	WIRING HARNESS D	
1	25	1015756	WIRING HARNESS C	
1	24	1015755	WIRING HARNESS B	
1	23	1015754	WIRING HARNESS A	
1	22	1007092	BUFFER RESISTOR MODULE ASSY	
19	21	MS171433	PIN, SPRING	X
4	20	MS21045CO4	NUT, SELF-LOCKING HEX	
4	19	MS16995-11	SCREW, CAP, SOCKET HEAD	
3	18	MS16995-10	SCREW, CAP, SOCKET HEAD	
19	17	1008095	SCREW, JAK	X
19	16	1004207	DRIVE CYLINDER	X
1	15	1008099-2	WASHER	
38	14	1004206	WASHER THRUST	X
1	13	1008098	SCREW, SOCKET HEAD	
1	12	1001317	RETAINER, JACK SCREW	
2	11	1010620-2	PIN, GUIDE	
12	10	MS16556-604	PIN, GUIDE	
1	9	1010622-2	CONNECTOR, RECEPTACLE	
1	8	1010622-1	CONNECTOR, RECEPTACLE	
45	7	1006775	INSULATOR, WRAPOST MALE MIN	
45	6	1006782-2	CONTACT, WRAPOST, MALE MIN	
60	5	1010383-1	INSULATOR, WRAPOST, MALE	
60	4	1010382-1	CONTACT, BLADE EDGE CONNECTOR	
143	3	1006781-2	CONTACT, WRAPOST, FEMALE MIN	
143	2	1006774	INSULATOR, WRAPOST, FEMALE MIN	
1	1	1008527	FRAME	
				
			PROOFED	
