-041	-031	-021	-011	FIND	DRAWING	TITLE
1				11	1004260-539	NAMEPLATE
	1			10	-538	NAMEPLATE
1	1			9	1021314-011	CASE, EYEPIECE STOWAGE (INSEP ASSY)
X		X		8	1021317	SCHEMATIC DIAGRAM, ELECT.
	X		X	7	1021318	SCHEMATIC DIAGRAM, ELECT.
1		1		6	1021272-021	ANNUNCIATOR PANEL & SUPPORT ASSY
		1		5	1004260-186	NAMEPLATE
			1	4	-185	NAMEPLATE
8	8	8	8	3	1001488-45	SCREW – HEX SOC. HD. - SELF LOCKING
		1	1	2	1021314-000	CASE, EYEPIECE STOWAGE (INSEP ASSY)
	1		1	1	1021272-011	ANNUNCIATOR PANEL & SUPPORT ASSY
						
						PROOFED
