-021	-011	FIND	DRAWING	TITLE	STRIKE
2	2	39	1000220-5	CLAMP CABLE	
1	1	38	-4	CLAMP CABLE	
AR	AR	37	1008901	FILLER, EPOXY MICROSPHERES	
AR	AR	36	1008821	POLYURETHANE STAKING COMPOUND	
AR	AR	35	QQ-S-571 SN60 WRAP	SOLDER	
AR	AR	34	MIL-F-14256 TYPE A/W	FLUX	
AR	AR	33	QQ-S-571 SN60 WS	SOLDER	
AR	AR	32	1012507-002	LACING TAPE	
2	2	31	1021316-002	BOOT, MOISTURE PROOFING	
1	1	30	1021315	WIRE HARNESS	
AR	AR	29	1010686	CATALYST	X
AR	AR	28	1010657	EPOXY RESIN	X
AR	AR	27	1010661	EPOXY RESIN	
AR	AR	26	1010679	ADHESIVE ACTIVATOR	
AR	AR	25	1010864	POLYURETHENE PREPOLYMER	X
AR	AR	24	1010798	POLYURETHENE FOAM	X
108	108	23	1010738-5	PIN CONTACTS	
15	15	22	1010958-001	PLUG, SEALING	
6	6	21	1010770-2	CONTACT, ELECTRICAL	
AR	AR	20	1012504-2	PRIMER, METAL	
AR	AR	19	-1	PRIMER, METAL	
AR	AR	18	1012503-2	COMPOUND, POLYURETHANE	
AR	AR	17	-1	COMPOUND, POLYURETHANE	
1	1	16	1010812-3	SEAL, RUBBER	
1	1	15	1010825-5	CONNECTOR, PLUG	
3	3	14	2014670-10	ADAPTER CONNECTOR	
3	3	13	1010930-017	CONNECTOR, RECEPTACLE	
2	2	12	MS35649-44	NUT – PLAIN HEXAGON	
6	6	11	1010618-29	SCREW – BUTTON HEAD	
1	1	10	-15	SCREW – BUTTON HEAD	
20	20	9	-14	SCREW – BUTTON HEAD	
9	9	8	1011918-3	WASHER, CABLE CLAMP	
6	6	7	1000220-1 THRU -12	CLAMP, CABLE	
1	1	6	1021271	COVER, ANNUNCIATOR PANEL	
1	1	5	1008838-3	ANNUNCIATOR	
1		4	-2	ANNUNCIATOR	
	1	3	-4	ANNUNCIATOR	
1	1	2	-1	ANNUNCIATOR	
1	1	1	1021269	SPT, ANN PNL & EYEPIECE STOW. (INSEP ASSY)	
					
				PROOFED	
