-011	FIND	DRAWING	TITLE	STRIKE
5	39	1021289-4	SCREW, CAP, SOC HD CAPTIVE	
6	38	-3	SCREW, CAP, SOC HD CAPTIVE	
5	37	NAS1352CO2LL3	SCREW, CAP, SOC HD	
1	36	1017577	RETAINER, SCREW (BOTTOM)	
1	35	1017576	RETAINER, SCREW (TOP)	
7	34	1017575	SCREW, CAP, SOC HD SPECIAL	
AR	33	MIL-A-25457	ADHESIVE	
AR	32	1010718	PRIMER, ADHESIVE	
6	31	NAS1352CO4-4	SCREW, CAP, SOC HD	
AR	30	1010679	ADHESIVE ACTIVATOR	
AR	29	1010661	RESIN, EPOXY	
AR	28	1008809-1	PAINT EPOXY	
AR	27	1010992	PRIMER, ADHESIVE	
AR	26	MIL-S-22473 GRADE C	SEALING COMPOUND	
AR	25	MIL-S-22473 GRADE E	SEALING COMPOUND	
30	24	NAS1352CO4LL6	SCREW, CAP, SOC HD	
1	23	1010858-22	“O” RING SILICONE	
1	22	-13	“O” RING SILICONE	
1	21	1021286	RETAINER, “O” RING	
10	20	1021305	SEAL, CONNECTOR	
7	19	NAS1352CO2LL6	SCREW, CAP, SOC HD	X
40	18	MS21269-A112	SCREW, MINIATURE UNM	
16	17	NAS1352CO2-4	SCREW, CAP, SOC HD	
38	16	NAS1352C04-6	SCREW, CAP, SOC HD	
5	15	1021289-2	SCREW, CAP, SOC HD CAPTIVE	X
6	14	-1	SCREW, CAP, SOC HD CAPTIVE	X
5	13	1021287	GASKET, SCREW	
10	12	1021290	GASKET, WINDOW	
5	11	1021293	CLAMP, WINDOW	
5	10	1021291	WINDOW, FRONT PANEL	
1	9	1017573-011	DESICCATOR PLUG ASSEMBLY	
1	8	1021294	EXTENSION STRIP R.H. SIDE PLATE	
1	7	1021288	CAP, REAR COVER	
1	6	1021298	COVER, TOP	
1	5	1021296	COVER, BOTTOM	
1	4	1021285-011	DESICCATOR ASSY	
1	3	1021300	SIDE PLATE L.H. (INSEP ASSY)	
1	2	1021299	PANEL (INSEP ASSY)	
1	1	1021303-011	FRAME, MATCHING ASSY	
				
			PROOFED	
