-011	-000	FIND	DRAWING	TITLE
AR		48	1010900	PRIMER COATING
AR		47	1006338-000	SEALING COMPOUND, SILICONE RUBBER
3		46	2010783-003	SHIM
3		45	-004	SHIM
3		44	-001	SHIM
AR	AR	43	1021314-007	SHIM – HINGE
6	6	42	1010618-15	SCREW, BUTTON HD.
AR	AR	41	1010718	PRIMER, ADHESIVE
AR	AR	40	MIL-A-25457	ADHESIVE – PRESSURE SENSITIVE
1	1	39	1021314-006	PAD, PRESSURE
1	1	38	-005	PAD, PRESSURE
1	1	37	-004	PAD, PRESSURE
1	1	36	-003	PAD, PRESSURE
		35		
		34		
		33		
AR	AR	32	1010661	EPOXY RESIN
AR	AR	31	1010679	ADHESIVE ACTIVATOR
AR	AR	30	1010864	POLYURETHENE PREPOLOYMER
AR	AR	29	1010863	POLYURETHENE RESIN
2	2	28	1008872-001	BUMPER, RUBBER
		27		
6	6	26	MS21207C4-6	SCREW, FLAT HD. - SELF THD
50	50	25	MS24622-16	SCREW, PAN HD
4	4	24	1008871-002	SHIM – LAMINATED
AR	AR	23	-001	SHIM – LAMINATED
2	2	22	1021311	STOP, COVER
2	2	21	1021275	BRACKET, ANGLE – LOWER
2	2	20	1021273	BRACKET, ANGLE – UPPER
2	2	19	1021276	BRACKET, ANGLE, CATCH
2	2	18	1021280	BRACKET, ANGLE, STRIKE
2	2	17	1021312	STRIKE, CATCH
2	2	16	1021264	SPRING, TENSION
2	2	15	1021262	CATCH, CLAMPING (INSEP ASSY)
2	2	14	1021279	BRACKET, ANGLE
2	2	13	1011288-1	PLUNGER, QUICK RELEASE
1	1	12	1021277	HOLDER, FILTER
AR	AR	11	1021314-002	SEAL, PLASTIC
AR	AR	10	-001	SEAL, PLASTIC
1	1	9	1021259	SUPPORT, L.H. - CASE (INSEP ASSY)
1	1	8	1021258	SUPPORT, R.H. - CASE (INSEP ASSY)
2	2	7	1021313	BRACKET, ANGLE, HINGE
2	2	6	1021278	STRIP, REINFORCING, HINGE (INSEP ASSY)
2	2	5	1021265	HINGE, BUTT (INSEP. ASSY)
1	1	4	1021310	LINER, COVER
1	1	3	1021257	COVER, CASE
1	1	2	1021309	LINER, CASE
1	1	1	1021256	CASE, STOWAGE
				
				PROOFED
