-021	-011	FIND	DRAWING	TITLE	STRIKE
2		72	MS35233-76	SCREW, MACHINE, PAN HD.	
1		71	1010858-22	O-RING	
1		70	1006783-18	SCREW, BUTTON HD. SOC. HEX.	
1		69	1021704	SHAFT	
X		REF	1021782	WIRING DIAGRAM	
X		REF	1021783	SCHEMATIC DIAGRAM, ELEC.	
32		66	MS35233-3	SCREW, MACHINE, PAN HD.	
1		65	1021769	RING, RETAINER	
1		64	1021752-011	DESICCATOR ASSY.	
1		63	1021773	GASKET	
1		62	1021760	COVER, RESOLVER	
1		61	1021771	PLATE, BOTTOM	
1		60	1021778	COVER	
1		59	1021780	GIMBAL ASSY – MATCHED MACH.	
1		58	1021781	HOUSING ASSY – MATCHED MACH.	
AR	AR	57	1012503	POLYURETHANE POTTING COMPOUND	
	AR	56	1010476-052	INSULATION SLEEVING	X
AR	AR	55	-232	INSULATION SLEEVING	
	AR	54	-172	INSULATION SLEEVING	X
AR	AR	53	MIL-A-25457	ADHESIVE SILICONE RUBBER (ES-2531)	
2	2	52	1014695	PLUNGER ASSY, TRUNNION AXIS	
4	4	51	1011625-11	SCREW, CAP, SOC HD	
AR	AR	50	MIL-S-22473 GRADE C	SEALING COMP, RETAINING	
AR	AR	49	1010750	CURING AGENT, POLYAMIDE (ES-2760)	
AR	AR	48	1010749	FILLER, CALCIUM CARBONATE	
AR	AR	47	1010748	RESIN, EPOXY (ES-2779)	
AR	AR	46	1010718	PRIMER, SILICONE ADHESIVE	
8	8	45	MS15795-302	WASHER, FLAT	
4	4	44	1011625-13	SCREW, CAP, SOC HD	
1	1	43	1014535	GEAR SECTOR, 55T FULL GEAR, 96P	
1	1	42	1014536	SHAFT, HANDLE	
2	2	41	1014694	SPRING PLUNGER ASSY, SHAFT AXIS	
1	1	40	1014533	CAM, SECTOR	
1	1	39	1010617-4	NUT – HEX, SELF LOCKING	
AR	AR	38	MIL-M-7866	MOLYBDENUM DISULFIDE POWDER	
	AR	37	1010476-082	INSULATION SLEEVING	X
AR	AR	36	1012507-004	TAPE, LACING	
AR	AR	35	QQ-S-571 SN10	SOLDER	
	X	REF	1015074	WIRING DIAGRAM	
	X	REF	1015075	SCHEMATIC DIAGRAM, ELEC.	
AR	AR	32	1010789-001	WIRE, ELEC, TFE INSULATED, 24 AWG, YEL	
AR	AR	31	MIL-F-14256 or QQ-S-571 TYPE AR	FLUX (ES-2798 OR ES-2175 TYPE 2)	
AR	AR	30	QQ-S-571 SN60	SOLDER (ES-2175, ALLOY 1)	
	2	29	1010618-13	SCREW, BUTTON HD, SELF LKG, SOC HEX	
1	2	28	1011918-1	WASHER, CABLE CLAMP	
	1	27	1000220-7	CLAMP, CABLE	
2	2	26	1010316	CAPACITOR, FIXED	
1	1	25	1000220-2	CLAMP, CABLE	
AR	AR	24	1006776-11	INSULATION, SLEEVING ELEC	
1	1	23	1021718-011	COMPONENT BOARD ASSY	
	6	22	1010618-13	SCREW, BUTTON HD, SELF LKG, SOC HEX	
	8	21	1010628-1	SCREW, FLAT HD, SELF LKG, SOC HEX	
1	7	20	1010618-2	SCREW, BUTTON HD, SELF LKG, SOC HEX	
1	1	19	-15	SCREW, BUTTON HD, SELF LKG, SOC HEX	
3	3	18	MS15795-701	WASHER – FLAT	
3	3	17	1006783-1	SCREW, BUTTON HD, SOC HEX	
1	1	16	1010608-1	WASHER – SPRING, CURVED	
6	6	15	NAS1352CO4LL4	SCREW, CAP HD, SELF LKG, SOC HEX	
6	6	14	1010415-1	CLAMP – SYNCHRO MOUNTING	
4	4	13	1010418-000	BUSHING – FLANGED	
2	2	12	1010429	SYNCHRO RESOLVER	
1	1	11	1014512	DIAPHRAGM – HAND CONTROLLER	
	1	10	1014563	PLATE BOTTOM	
	1	9	1014538	COVER ASSY (INSEP)	
1	1	8	1014575	HANDLE	
	1	7	1014570	SHAFT	
2	2	6	1014573	GEAR, SECTOR 72T FULL GEAR, 96P	
1	1	5	1014571	GEAR, SECTOR, 55T FULL GEAR, 96P	
1	1	4	1021719	SHAFT	
1	1	3	1014564	TERMINAL BOARD ASSY (INSEP)	
	1	2	1014567	GIMBAL ASSY – MATCHED MACH.	
	1	1	1014701	HOUSING ASSY – MATCHED MACH.	
					
				PROOFED	
