FIND	0	DRAWING	TITLE
1	13.0 FEET	1010789-011	WIRE
2	376.0 FEET 11 INCHES	-012	WIRE
3	30.0 FEET 4 INCHES	-013	WIRE
4	878.0 FEET 11 INCHES	-001	WIRE
5	138.0 FEET 9 INCHES	-006	WIRE
6	26.0 FEET 6 INCHES	1010707-1	WIRE
7	3	1010824-1	CONNECTOR RECP ELECTRICAL
8	5	-2	CONNECTOR RECP ELECTRICAL
9	1	1010822-1	CONNECTOR RECP ELECTRICAL
10	2	-3	CONNECTOR RECP ELECTRICAL
11	1	1010816-144	CONNECTOR RECP ELECTRICAL
12	1	-244	CONNECTOR RECP ELECTRICAL
13	1	1010348-1	CONNECTOR PLUG ELECTRICAL
14	1	-2	CONNECTOR PLUG ELECTRICAL
17	1	1010674-1	CONNECTOR PLUG ELECTRICAL
18	1	-2	CONNECTOR PLUG ELECTRICAL
19	1	-3	CONNECTOR PLUG ELECTRICAL
20	1	-4	CONNECTOR PLUG ELECTRICAL
27	16	1010402-1	SLEEVE, SOLDER
28	137	-2	SLEEVE, SOLDER
31	249	1010490-110	INSULATION-SLEEVING, ELECTRICAL, HEAT SHRINKABLE
32	316	-112	INSULATION-SLEEVING, ELECTRICAL, HEAT SHRINKABLE
38	36.0 INCHES	-975	INSULATION-SLEEVING, ELECTRICAL, HEAT SHRINKABLE
39	36.0 INCHES	-979	INSULATION-SLEEVING, ELECTRICAL, HEAT SHRINKABLE
40	2	-216	INSULATION-SLEEVING, ELECTRICAL, HEAT SHRINKABLE
41	2	-222	INSULATION-SLEEVING, ELECTRICAL, HEAT SHRINKABLE
42	1	1023055-007	WIRE, BRAID PER QQ-B-375
43	1	-008	WIRE, BRAID PER QQ-B-375
45	1	1000243-34	FERRULE, INNER ELECTRICAL CONDUCTOR
46	1	-26	FERRULE, INNER ELECTRICAL CONDUCTOR
47	1	1000242-30	FERRULE, OUTER ELECTRICAL CONDUCTOR
49	1638	1010738-6	CONTACT, SOCKET
51	AR	1012507-004	TAPE, LACING AND TYING
59	1	1000242-24	FERRULE, OUTER ELECTRICAL CONDUCTOR
60	1	1000243-30	FERRULE, INNER ELECTRICAL CONDUCTOR
61	1	1000242-27	FERRULE, OUTER ELECTRICAL CONDUCTOR
62	1	1000243-36	FERRULE, INNER ELECTRICAL CONDUCTOR
63	1	1000242-33	FERRULE, OUTER ELECTRICAL CONDUCTOR
64	263	1010743-1	WRAPOST RECEPTACLE
65	136	-2	WRAPOST RECEPTACLE
66	84	-3	WRAPOST RECEPTACLE
67	1	1010734-16	GROMMET, CONNECTOR STRAIN RELIEF
68	1	-18	GROMMET, CONNECTOR STRAIN RELIEF
69	12	1010770-2	CONTACT, SOCKET
70	1	1010809-001	CONNECTOR PLUG ELECTRICAL
71	1	1021714-001	CONNECTOR PLUG ELECTRICAL
72	1	-002	CONNECTOR PLUG ELECTRICAL
73	10.0 FEET 3 INCHES	1010789-008	WIRE
74	54.0 INCHES	-009	WIRE
75	16.0 FEET 1 INCH	-010	WIRE
76	119.0 FEET	-002	WIRE
77	420.0 FEET	-003	WIRE
78	86.0 FEET 4 INCHES	-004	WIRE
79	15.0 FEET 5 INCHES	-005	WIRE
80	1	1010824-5	CONNECTOR RECP ELECTRICAL
81	1	1015902-3	LUG TERMINAL
82	300	1010490-118	INSULATION-SLEEVING, ELECTRICAL, HEAT SHRINKABLE
			
			PROOFED
