-241	-231	-221	-211	-191	-181	-171	-161	-151	-141	-131	-121	-111	-91	-81	-71	-61	-51	-41	-31	-21	-11	FIND	DRAWING	TITLE	STRIKE
1																						83	1011000-010	OPTICAL UNIT ASSY	
	1																					82	1011000-009	OPTICAL UNIT ASSY	
		1																				81	1011000-008	OPTICAL UNIT ASSY	
			1																			80	2011000-024	OPTICAL UNIT ASSY	
				1																		79	2011000-023	OPTICAL UNIT ASSY	
					1																	78	2011000-002	OPTICAL UNIT ASSY	
						1																77	2011000-012	OPTICAL UNIT ASSY	
								1														76	2011000-022	OPTICAL UNIT ASSY	
							1															75	1011000-007	OPTICAL UNIT ASSY	
1	1	1	1		1		1	1		1			1									74	1899982-011	FRAME ASSY - NAV BASE	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	73	1899994-011	FRONT ISOLATOR LOCKOUT PIN ASSY	
													1									72	1011000-005	OPTICAL UNIT ASSY	
3	3	3	3	3	3	3	3	3	3	3	3	3	3									71	1010728-3	BOLD EXT WRENCHING	
			12	12				12	12					12								70	NAS1351C3-6	SCREW, SOCKET HD CAP	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR				69	1010400-8	CLAMP, LOOP HINGED	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR				68	1010400-7	CLAMP, LOOP HINGED	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR				67	1010400-6	CLAMP, LOOP HINGED	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR				66	1010400-5	CLAMP, LOOP HINGED	
											1							1				65	1011000-006	OPTICAL UNIT ASSY	
										1						1						64	2011000-001	OPTICAL UNIT ASSY	
									1					1								63	2011000-021	OPTICAL UNIT ASSY	
												1			1							62	2011000-011	OPTICAL UNIT ASSY	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1					61	1014650-19	PLATE, IDENTIFICATION	
																	1					60	1011000-004	OPTICAL UNIT ASSY	
																		1				59	1011000-002	OPTICAL UNIT ASSY	X
																			1			58	1011000-001	OPTICAL UNIT ASSY	
1	1	1					1				1		1				1	1	1	1		57	1021414	ADAPTER PLATE ASSY, COOL HOSE BYP	
																		1				56	1014650-18	PLATE, IDENTIFICATION	
																			1			55	1014650-17	PLATE, IDENTIFICATION	
			5	5	5	5		5	5	5		5		5	5	5						54	1011625-39	SCREW - SOCKET HEAD, CAP	
			1	1	1	1		1	1	1		1		1	1	1						53	1021407	ADAPTER PLATE ASSY, COOL HOSE BYP	
																1		1				52	2011000	OPTICAL UNIT ASSY	X
			1	1	1	1		1	1	1		1		1	1	1						51	1898952	BELLOWS ASSEMBLY SXT	
2	2		2	2	2	2	2	2	2	2		2	2	2	2	2	2					50	1010828	MOUNT, RESILIENT, FRONT	
1	1		1	1	1	1	1	1	1	1		1	1	1	1	1	1					49	1010827	MOUNT, RESILIENT, REAR	
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	48	MS16214-4	WASHER - LOCK	
12	12	12			12	12	12			12	12	12	12		12	12	12	12	12	12	12	47	NAS1351-3-6	SCREW - SOCKET HD CAP	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	1	1	1	46	1010400-4	CLAMP, LOOP HINGED	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	2	2	2	45	1010400-3	CLAMP, LOOP HINGED	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	2	2	2	44	1010400-2	CLAMP, LOOP HINGED	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	1	1	1	43	1010400-1	CLAMP, LOOP HINGED	
																				1		42	1014650-9	PLATE, IDENTIFICATION	
																		4	4	4		41	1006927	WASHER, PLAIN FLAT	X
4	4	4					4				4		4				4	4	4	4		40	NAS1352C06-8	SCREW SOCKET HEAD CAP	
																		1	1	1		39	1011599-16	PACKING, PREFORMED	X
																		1	1	1		38	1001471	HOSE FLEXIBLE ASSEMBLY	X
									1	1	1	1	1	1	1	1	1	1	1	1	1	37	1899999-011	ISOLATOR LOCKOUT SET (NAV, BASE)	X
														3	3	3	3	3	3	3		36	1010732-014	BOLT, EXTERNAL WRENCHING	
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4		35	1010727-001	BOLT, INTERNAL WRENCHING	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2		34	1010728-001	BOLT, EXTERNAL WRENCHING	
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3		33	1899984	CENTERING COLLAR	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		32	1899997-001	SEAL, PLAIN ENCASED	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		31	1899997-002	SEAL, PLAIN ENCASED	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		30	1899996-001	SEAL, PLAIN ENCASED	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		29	1899996-002	SEAL, PLAIN ENCASED	
		1		1		1			1		1	1		1	1	1	1	1	1	1		28	1899982	FRAME ASSY, NAV, BASE	
24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	27	AN960C-10L	WASHER, FLAT	
24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	26	AN363C-1032	NUT, SELF LOCKING	
																					4	25	MS20005-12	BOLT, INTERNAL WRENCHING	
																				1	1	24	1011000-000	OPTICAL UNIT ASSY	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	23	1899978	SNUBBER, FRONT R.H. (INSEP ASSY)	
																					1	22	1899954-002	SEAL, BELLOWS	
																					1	21	1899954-001	SEAL, BELLOWS	
