FIND	0	DRAWING	TITLE
17	3	MS21209-F4-15	INSERT -SELF LOCKING
16	4	MS171528	PIN SPRING
15	4	MS21209-FS-15	INSERT – SELF LOCK
14	4	MS35690-430	NUT – PLAIN, HEX
13	2	AN960C416	WASHER – PLAIN
12	2	1899968	PIN – ALIGNMENT
11	12	1010284-1	SCREW -FLAT HD, 100 DEGREE HEX SOCKET
10	3	1899965	INSERT – OPTICS MOUNTING
9	1	1899964	PLATE – BACK-UP, RH REAR
8	1	1899963	PLATE – BACK-UP, LH REAR
7	1	1899962	PLATE – BACK-UP, RH FRONT
6	1	1899961	PLATE – BACK-UP, LH FRONT
5	1	1899960	PAD – IMU MOUNTING, RH REAR
4	1	1899959	PAD – IMU MOUNTING, LH REAR
3	1	1899958	PAD – IMU MOUNTING, RH FRONT
2	1	1899957	PAD – IMU MOUNTING, LH FRONT
1	1	1899981	STRUCTURAL ASSY – NAV. BASE
			
			PROOFED
