-31	-21	-11	DRAWING	TITLE	FIND
X			2005926	SCHEMATIC	REF
					
					
		X	2005009	SCHEMATIC	REF
	X		2005924	SCHEMATIC	REF
18			2004184-001	TRANSISTOR, POTTED	27
48			2004183-001	DIODE	26
2	2		2004984-003	WASHER, FLAT	25
2	2		2004984-001	WASHER, FLAT	24
6	6	6	2004074	INSULATOR, WASHER	23
23	23	23	2004004-002	TRANSISTOR, POTTED	22
	18	18	2004004-001	TRANSISTOR, POTTED	21
	48	48	2004103-001	DIODE	20
6	6	6	SEE NOTE 11	RESISTOR	19
6	6	6	1006788-59	RESISTOR	18
44	44	49	1006750-49	RESISTOR	17
23	23	23	1006750-43	RESISTOR	16
20	20	15	1006750-39	RESISTOR	15
6	6	6	1006750-28	RESISTOR	14
12	12	12	1006750-15	RESISTOR	13
1	1	1	2004039	TERMINAL, THREADED	12
1	1	1	2004042-011	INSULATOR A	11
1	1	1	2004043	INSULATOR B	10
2	2	2	MS16633-4015	RING, RETAINING	9
		2	1004546-3	WASHER, FLAT	8
		2	1004546-1	WASHER, FLAT	7
2	2	2	1004579-1	SCREW, JACKING	6
AR	AR	AR	1006776-21	INSULATION, SLEEVING	5
AR	AR	AR	1006776-22	INSULATION, SLEEVING	4
AR	AR	AR	1006757-1	WIRE, ELECTRICAL	3
AR	AR	AR	1006757-8	WIRE, ELECTRICAL	2
1	1	1	2003028-011	HEADER HOUSING ASSEMBLY	1
