-21	-11	DRAWING	TITLE	FIND
X		2005930	SCHEMATIC	REF
4		2004184-003	TRANSISTOR, UNPOTTED	42
	X	2005003	SCHEMATIC	REF
1	1	1006750-27	RESISTOR	41
3		2004183-001	DIODE	40
1	1	1006750-43	RESISTOR	39
1	1	SEE NOTE 13	RESISTOR	38
1	1	1006750-34	RESISTOR	37
1	1	1006750-1	RESISTOR	36
1	1	1006750-36	RESISTOR	35
1	1	1006750-55	RESISTOR	34
1	1	1006750-62	RESISTOR	33
1	1	1006750-56	RESISTOR	32
1	1	1006750-8	RESISTOR	31
1	1	1006750-80	RESISTOR	30
4	4	1006750-39	RESISTOR	29
2	2	1006750-84	RESISTOR	28
1	1	1006750-25	RESISTOR	27
1	1	1006714	RESISTOR	26
4	4	2004092	INSULATOR	25
	4	2004004-005	TRANSISTOR	24
1	1	1006291	THERMISTOR	23
1	1	1006712-3	THERMISTOR	22
1	1	1006715-1	THERMISTOR	21
1	1	1006847	CRYSTAL UNIT, QUARTZ	20
1	1	1010406-12	COIL, RF, CHOKE	19
1	1	1006324	COIL, VARIABLE	18
	3	2004103-001	DIODE	17
1	1	1006700-1	DIODE	16
1	1	2004112-001	DIODE, ZENER	15
2	2	1006777-32	CAPACITOR	14
1	1	1006755-79	CAPACITOR	13
1	1	1006755-69	CAPACITOR	12
1		1006793-83	CAPACITOR	11
4	4	1006793-87	CAPACITOR	10
1	1	1006793-89	CAPACITOR	9
1	1	SEE NOTE 13	CAPACITOR	8
AR	AR	1006776-25	INSULATION, SLEEVING	7
AR	AR	1006776-22	INSULATION, SLEEVING	6
AR	AR	1006757-12	WIRE, ELECTRICAL	5
AR	AR	1006757-24	WIRE, ELECTRICAL	4
AR	AR	1006757-8	WIRE, ELECTRICAL	3
AR	AR	SEE NOTE 4 & 23	TAPE, ADHESIVE, AL BACKED	2
1	1	2004060	HOLDER, COMPONENT	1
