-21	-11	DRAWING	TITLE	FIND	STRIKE
AR	AR	1005015	GREASE, FUEL AND OIL RESISTANT	28	
8	8	NAS121906C-8	SCREW, 100° CSK HD, HI TORQUE, RECESS	27	
8	8	NAS662C2RLE4	SCREW, 100° FLAT HD, SELF-LOCKING	26	
AR		1006376-003	WIRE, ELECTRICAL, INSULATED	25	
AR		1006776-21	INSULATION, SLEEVING	24	
1		2003066-021	INTERCONNECTION HEADER, SUBASSY	23	
1		2004700	COVER CONNECTOR B42	22	
1		2004702	COVER CONNECTOR B41	21	
1		2003064-021	CONNECTOR B42 SUBASSY	20	
1		2003065-021	CONNECTOR B41 SUBASSY	19	
X	X	2004040	WIRE WRAP DECK	REF	
X	X	2005018	INTERCONNECTION DIAGRAM	REF	
					
					
	AR	1006776-25	INSULATION, SLEEVING	18	X
	AR	1006767-12	WIRE, ELECTRICAL	17	X
	AR	1006732	WIRE, ELECTRICAL, INSULATED	16	
2	1	2004039	TERMINAL, THREADED	15	
8	8	1010630-2	SCREW, 100° FLAT HD	14	X
8	8	1010630-28	SCREW, 100° FLAT HD	13	X
4	4	MS16633-4015	RING, RETAINING	12	
4	4	1004546-3	WASHER, FLAT	11	
4	4	1004546-1	WASHER, FLAT	10	
8	8	NAS620-4	WASHER, FLAT	9	
8	8	1001489-6	SCREW, HEX, SOC HD	8	
4	4	1004579-1	SCREW, JACKING	7	
	1	2004109	COVER, CONNECTOR B42	6	
	1	2004108	COVER, CONNECTOR B41	5	
1	1	2004107	COVER, INTERCONNECTION HEADER	4	
	1	2003064-011	CONNECTOR B42, SUBASSY	3	
	1	2003065-011	CONNECTOR B41, SUBASSY	2	
	1	2003066-011	INTERCONNECTION HEADER, SUBASSY	1	
