-41	-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
X				2005933	SCHEMATIC	REF	
1				2004183-002	DIODE, MATCHED PAIR	47	
17				2004184-001	TRANSISTOR, POTTED	46	
15				2004183-001	DIODE	45	
			X	2005020	SCHEMATIC	REF	
	X	X		2005912	SCHEMATIC	REF	
2	2			2004984-003	WASHER, FLAT	44	
2	2			2004984-001	WASHER, FLAT	43	
1	1	1		SEE NOTE 13	RESISTOR	42	
	1	1		2004103-002	DIODE, MATCHED PAIR	41	
22	22	22	22	1006319	TRANSFORMER	40	
1	1	1	1	1010291-4	TRANSFORMER	39	
	17	17	17	2004004-001	TRANSISTOR	38	
2	2	2	2	2004112-002	DIODE, ZENER	37	
	15	15	17	2004103-001	DIODE	36	
3	3	3	3	1010406-6	CHOKE	35	
22	22	22	22	1006755-79	CAPACITOR	34	
2	2	2	2	1006755-69	CAPACITOR	33	
2	2	2	2	1006755-57	CAPACITOR	32	
			1	1006750-77	RESISTOR	31	
1	1	1	1	1006750-73	RESISTOR	30	
20	20	20	20	1006750-63	RESISTOR	29	
2	2	2	2	1006750-56	RESISTOR	28	
1	1	1	1	1006750-53	RESISTOR	27	
1	1	1	1	1006750-52	RESISTOR	26	
2	2	2	2	1006750-49	RESISTOR	25	
1	1	1	1	1006750-44	RESISTOR	24	
28	28	28	28	1006750-39	RESISTOR	23	
12	12	12	12	1006750-32	RESISTOR	22	
1	1	1	1	1010768-29	RESISTOR	21	
3	3	3	3	1006750-25	RESISTOR	20	
22	22	22	22	1006750-8	RESISTOR	19	
11	11	11	11	1006750-1	RESISTOR	18	
1	1	1	1	SEE NOTE 13	RESISTOR	17	
1	1	1	1	SEE NOTE 13	RESISTOR	16	
1	1	1	1	2004133	INSULATOR C	15	
1	1	1	1	2004132	INSULATOR B	14	
1	1	1	1	2004131	INSULATOR A	13	
1	1	1	1	2004134	INSULATOR D	12	
6	6	6	6	2004092	INSULATOR	11	
1	1	1	1	2004039	TERMINAL, THREADED	10	
2	2	2	2	MS16633-4015	RING, RETAINING	9	
		2	2	1004546-3	WASHER, FLAT	8	
		2	2	1004546-1	WASHER, FLAT	7	
2	2	2	2	1004579-1	SCREW, JACKING	6	
AR	AR	AR	AR	1006776-22	INSULATION, SLEEVING	5	
AR	AR	AR	AR	1006776-21	INSULATION, SLEEVING	4	
AR	AR	AR	AR	1006757-1	WIRE, ELECTRICAL	3	
AR	AR	AR	AR	1006757-8	WIRE, ELECTRICAL	2	
1	1	1	1	2003007-011	HEADER HOUSING ASSY	1	
							
X	X	X	X	X	PROOFED	REF	X
