-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
	X	X	2005021	SCHEMATIC	REF	
X			2005928	SCHEMATIC	REF	
						
45			2004184-001	TRANSISTOR, POTTED	25	
11			2004183-001	DIODE	24	
2	2		2004984-003	WASHER, FLAT	23	
2	2		2004984-001	WASHER, FLAT	22	
11	11	11	1006319	TRANSFORMER	21	
	45	45	2004004-001	TRANSISTOR	20	
3	3	3	1010406-6	COIL, RF CHOKE	19	
	11	11	2004103-001	DIODE	18	
13	13	13	1006755-79	CAPACITOR	17	
10	10	10	1006750-63	RESISTOR	16	
48	48	48	1006750-39	RESISTOR	15	
11	11	11	1006750-32	RESISTOR	14	
22	22	22	1006750-8	RESISTOR	13	
AR	AR	AR	1006776-22	INSULATION, SLEEVING	12	
AR	AR	AR	1006776-21	INSULATION, SLEEVING	11	
AR	AR	AR	1006757-8	WIRE, ELECTRICAL	10	
AR	AR	AR	1006757-1	WIRE, ELECTRICAL	9	
1	1	1	2004039	TERMINAL, THREADED	8	
2	2	2	MS16633-4015	RING, RETAINING	7	
		2	1004546-3	WASHER, FLAT	6	
		2	1004546-1	WASHER, FLAT	5	
2	2	2	1004579-1	SCREW, JACKING	4	
1	1	1	2004137	INSULATOR B	3	
1	1	1	2004136-011	INSULATOR A	2	
1	1	1	2003006-011	HEADER HOUSING ASSY	1	
						
X	X	X	X	PROOFED	REF	X
