-71	-61	-51	-41	-31	-21	-11	DRAWING	TITLE	FIND
X	X	X	X	X	X	X	2005037	WIRE WRAP DECK (SEE NOTE APPL BLOCK)	REF
									
									
									
AR	AR	AR	AR	AR	AR	AR	1006776-21	INSULATION, SLEEVING	8
AR	AR	AR	AR	AR	AR	AR	QQ-W-343 TYPE S	WIRE, AWG 24, COATED SOFT	7
AR	AR	AR	AR	AR	AR	AR	1006376-003	WIRE, ELEC, INS	6
6	6	6	6	6	6	6	MS16555-640	PIN, STRAIGHT, HEADLESS	5
4	4	4	4	4	4	4	2004139	PIN, HEADLESS DOWEL	4
2	2	2	2	2	2	2	2003081-011	BUS STRIP ASSY	3
2	2	2	2	2	2	2	2003080-011	BUS STRIP ASSY	2
1	AR	AR	AR	AR	AR	AR	2003090-011	TRAY A SUBASSY	1
