-21	-11	DRAWING	TITLE	FIND
X		2005934	SCHEMATIC	REF
	X	2005104	SCHEMATIC	REF
				
				
1		2004004-006	TRANSISTOR, POTTED	39
82		2004183-001	DIODE	38
49		2004184-001	TRANSISTOR, POTTED	37
2	2	1006788-9	RESISTOR	36
1	1	1006788-8	RESISTOR	35
1	1	1004738-001	INSULATOR	34
1	1	1006712-3	RESISTOR, TEMP SENSITIVE	33
10	10	2004074	INSULATOR, WASHER	32
AR	AR	1006776-21	INSULATION SLEEVING	31
1	1	2004039	TERMINAL THREADED	30
	82	2004103-001	DIODE	29
	49	2004004-001	TRANSISTOR, POTTED	28
2	3	2004004-002	TRANSISTOR, POTTED	27
1	1	1006750-29	RESISTOR	26
9	9	1010406-10	COIL, RF CHOKE	25
1	1	1010406-8	COIL, RF CHOKE	24
1	1	1010406-11	COIL, RF CHOKE	23
5	5	1010406-7	COIL, RF CHOKE	22
4	4	1006755-79	CAPACITOR	21
2	2	1006755-32	CAPACITOR	20
8	8	1006750-12	RESISTOR	19
10	10	1006788-11	RESISTOR	18
10	10	SEE NOTE 12	RESISTOR	17
40	40	1006750-49	RESISTOR	16
1	1	1006750-43	RESISTOR	15
3	3	1006750-39	RESISTOR	14
12	12	1006750-32	RESISTOR	13
1	1	1006750-24	RESISTOR	12
26	26	1006750-15	RESISTOR	11
1	1	2004159	INSULATOR (A)	10
1	1	2004160	INSULATOR (B)	9
2	2	MS16633-4015	RING, RETAINING, EXTERNAL, “E”	8
2	2	2004984-003	WASHER, FLAT	7
2	2	2004984-001	WASHER, FLAT	6
2	2	1004579-1	SCREW, JACKING	5
AR	AR	1006776-22	INSULATION SLEEVING	4
AR	AR	1006757-1	WIRE, ELECTRICAL	3
AR	AR	1006757-8	WIRE, ELECTRICAL	2
1	1	2003115-011	HEADER, HOUSING, ASSY	1
