QTY	STRIKE	FIND	TITLE	-11	-21	-31	-41	-51	-61	-71	-81	-91	-111	-121	-131	-141	-151	-161	-171	-181	-191	-211	-221	-231
AR		9	WIRE, ELECTRICAL	1006757-20	1006757-20	1006757-20	1006757-20	1006757-20	1006757-20	1006757-20	1006757-20	1006757-20	1006757-20	1006757-20	1006757-20	1006757-20	1006757-20	1006757-20	1006757-20	1006757-20	1006757-20	1006757-20	1006757-20	1006757-20
AR		8	WIRE, ELECTRICAL	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8	1006757-8
2		7	WASHER, FLAT	2004984-003	2004984-003	2004984-003	2004984-003	2004984-003	2004984-003	2004984-003	2004984-003	2004984-003	2004984-003	2004984-003	2004984-003	2004984-003	2004984-003	2004984-003	2004984-003	2004984-003	2004984-003	2004984-003	2004984-003	2004984-003
2		6	WASHER, FLAT	2004984-001	2004984-001	2004984-001	2004984-001	2004984-001	2004984-001	2004984-001	2004984-001	2004984-001	2004984-001	2004984-001	2004984-001	2004984-001	2004984-001	2004984-001	2004984-001	2004984-001	2004984-001	2004984-001	2004984-001	2004984-001
2		5	SCREW, JACKING	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1	1004579-1
2		4	RING, RETAINING	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015	MS16633-4015
1		3	CIRCUIT BOARD ASSEMBLY	2003086-011	2003086-031	2003086-051	2003086-071	2003086-091	2003086-121	2003086-141	2003086-161	2003086-251	2003086-271	2003086-291	2003086-321	2003086-341	2003086-361	2003086-381	2003086-411	2003086-431	2003086-451	2003086-471	2003086-491	2003086-521
1		2	CIRCUIT BOARD ASSEMBLY	2003086-021	2003086-041	2003086-061	2003086-081	2003086-111	2003086-131	2003086-151	2003086-171	2003086-261		2003086-311	2003086-331	2003086-351	2003086-371	2003086-391	2003086-421	2003086-441	2003086-461	2003086-481	2003086-511	2003086-531
1		1	HEADER HOUSING ASSEMBLY	2003000-021	2003000-021	2003000-021	2003000-021	2003000-021	2003000-021	2003000-021	2003000-021	2003000-021	2003000-021	2003000-021	2003000-021	2003000-021	2003000-021	2003000-021	2003000-021	2003000-021	2003000-021	2003000-021	2003000-021	2003000-021
																								
0	X	REF	PROOFED	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
