-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
1			2004004-006	TRANSISTOR, POTTED	43	
X			2005938	SCHEMATIC	REF	
		X	2005100	SCHEMATIC	REF	
	X		2005942	SCHEMATIC	REF	
89			2004183-001	DIODE	42	
39			2004184-001	TRANSISTOR, POTTED	41	
6	6	6	SEE NOTE 11	COIL, RF, CHOKE	40	
4	4	4	1006750-16	RESISTOR	39	
16	16	16	2004074	INSULATOR, WASHER	38	
2	2	2	1010406-11	COIL, RF, CHOKE	37	
4	4	4	1006750-29	RESISTOR	36	
4	4	4	1006750-24	RESISTOR	35	
4	4	4	NAS620A-2	WASHER, FLAT	34	
	39	39	2004004-001	TRANSISTOR, POTTED	33	
7	8	8	2004004-002	TRANSISTOR, POTTED	32	
	89	89	2004103-001	DIODE	31	
9	9	9	1010406-7	COIL, RF, CHOKE	30	
8	8	8	1010406-10	COIL, RF, CHOKE	29	
9	9	9	1006755-79	CAPACITOR	28	
1	1	1	1006755-69	CAPACITOR	27	
3	3	3	1006788-9	RESISTOR	26	
4	4	4	1006750-32	RESISTOR	25	
20	20	21	1006750-49	RESISTOR	24	
8	8	8	SEE NOTE 11	RESISTOR	23	
8	8	8	SEE NOTE 11	RESISTOR	22	
8	8	8	1006750-22	RESISTOR	21	
1	1	1	1006750-43	RESISTOR	20	
23	23	22	1006750-15	RESISTOR	19	
2	2	2	1006750-39	RESISTOR	18	
6	6	6	1006750-35	RESISTOR	17	
3	3	3	1006750-36	RESISTOR	16	
4	4	4	1006783-10	SCREW, BUTTON HEAD, HEX SOCKET	15	
1	1	1	2004032	COVER	14	
1	1	1	2003142-011	MATRIX ASSEMBLY	13	
1	1	1	2004039	TERMINAL, THREADED	12	
AR	AR	AR	1006776-22	INSULATION, SLEEVING	11	
AR	AR	AR	1006776-21	INSULATION, SLEEVING	10	
AR	AR	AR	1006757-1	WIRE, ELECTRICAL	9	
AR	AR	AR	1006757-8	WIRE, ELECTRICAL	8	
2	2	2	MS16633-4015	RING, RETAINING, EXTERNAL, “E”	7	
2	2	2	2004984-003	WASHER, FLAT	6	
2	2	2	2004984-001	WASHER, FLAT	5	
2	2	2	1004579-1	SCREW, JACKING	4	
1	1	1	2003992	INSULATOR (B) ASSY	3	
1	1	1	2004720	INSULATOR (A) ASSY	2	
1	1	1	2003084-011	HEADER HOUSING ASSEMBLY	1	
						
X	X	X	X	PROOFED	REF	X
