-51	-41	-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
1	1	1	1	1	2004691	SHIM, VIBRATION DAMPENING	93	
1	1	1	1	1	2004690	PAD, VIBRATION DAMPENING	92	
1	1	1	1	1	2004899-007	PAD, VIBRATION	91	
1	1	1	1	1	2004899-006	PAD, VIBRATION	90	
4	4	4	4	4	1010485-432	SCREW, NYLON	89	
11	11	11	11	11	1010485-332	SCREW, NYLON	88	
6	6	6	6	6	1010485-235	SCREW, NYLON	87	
28	28	28	28	28	1010485-100	SCREW, NYLON	86	
AR	AR	AR	AR	AR	2010801	SHIM, AGC	85	
AR	AR	AR	AR	AR	2010800-000	SHIM	84	
AR	AR	AR	AR	AR	1006338-003	SEALING COMPOUND, SILICONE RUBBER	83	
AR	AR	AR	AR	AR	1008954	SILICONE COMPOUND	82	
X	X	X	X		200594354	AGC WIRE LIST	81	
2					2003892-011	POWER SUPPLY MOD A30-31	80	
1					SEE NOTE 31	TRAY A WIRED ASSY	79	
1	1				2003099-011	COVER, TEST CONN	78	
33	33	33	33		2004732-002	SCREW, COATED	77	
33	33	33	33		2004732-001	SCREW, COATED	76	
18	18	18	18		2004732-003	SCREW, COATED	75	
	2	2			2003953-021	POWER SUPPLY MOD A30-31	74	
1	1	1	1		2003978-001	MID-SPACER	73	
	1	1	1		2003092-021	TRAY A WIRED ASSY	72	
2	2	2	2		SEE NOTE 41	ROPE DRIVER MODULE B16-B17	71	
1	1	1	1		2003976-011	TRAY B COVER	70	
1	1	1	1		2003977-011	TRAY A COVER	69	
2	2	2	2		1001489-36	SCREW, HEX SOCKET HEAD	68	
	66	66	66		1006783-26	SCREW, BUTTON HEAD, HEX SOCKET	67	X
AR	AR	AR	AR	AR	1006338-000	SEALING COMPOUND, SILICONE RUBBER	66	X
AR	AR	AR	AR	AR	1006776-22	INSULATION SLEEVING, ELECTRICAL	65	
				X	2005036	AGC WIRE LIST	REF	
1	1	1	1	1	SEE NOTE 22	CAPACITOR	64	
10	10	10	10	10	2004148-007	WASHER, FLAT	63	
1	1	1	1	1	2003981-011	SENSE AMPLIFIER MODULE, FIXED MEMORY B14	62	
AR	AR	AR	AR	AR	2004895-002	SHIM, AGC	61	X
AR	AR	AR	AR	AR	2004895-001	SHIM, AGC	60	X
	1	1	1	1	2004899-001	PAD, VIBRATION	59	
1	1	1	1	1	2003970	VIBRATION PAD ASSY	58	
4	4	4	4	4	NAS1598-D08N	WASHER, SEALING	57	
1	1	1	1	1	2018773	VALVE PRESSURE ASSEMBLY	56	
1	1	1	1	1	1000159-5	PACKING, PREFORMED “O” RING	55	
2	2	2	2	2	2004984-001	WASHER, FLAT	54	
8	8	8	8	8	2004130	PAD, THREADED	53	
18	18	18	18	18	20049894-014	WASHER, FLAT	52	
		4	4	4	2004894-012	WASHER, FLAT	51	
				2	1001489-34	SCREW, HEX SOCKET HEAD	50	
		4	4	4	1004722-2	SCREW, CAPTIVE	49	
1	1	1	1	1	1000159-7	PACKING, PREFORMED “O” RING	48	
				18	MS16996-14	SCREW, SOCKET HEAD, CAP	47	
				66	1006783-25	SCREW, BUTTON HEAD, HEX SOCKET	46	
2	2	2	2	2	1006347	GASKET, PLATE	45	
1	1	1	1	1	2004986	PLUG, MACHINE THREAD	44	
1	1	1	1	1	1004260-19	NAME PLATE, TYPE I	43	
1	1	1	1	1	2004113-001	BRACKET, CABLE	42	
		1	1	1	2004115	COVER, POTTED	41	
1	1	1	1	1	1006380	GASKET, RETAINED	40	
58	58	58	58	58	2004707	WASHER, KNURLED	39	
3	3	3	3	3	2003067-031 or 2003067-041	INTERFACE MODULE A27-29	38	
2	2	2	2	2	2003070-021 or 2003070-031	INTERFACE MODULE A25-31	37	
			2	2	2003953-011	POWER SUPPLY MODULE A30-31	36	
1	1	1	1	1	2003121-231 or 2003888-231	LOGIC MODULE A24	35	
1	1	1	1	1	2003121-221 or 2003888-221	LOGIC MODULE A23	34	
1	1	1	1	1	2003121-211 or 2003888-211	LOGIC MODULE A22	33	
1	1	1	1	1	2003121-191 or 2003888-191	LOGIC MODULE A21	32	
1	1	1	1	1	2003121-181 or 2003888-181	LOGIC MODULE A20	31	
1	1	1	1	1	2003121-171 or 2003888-171	LOGIC MODULE A19	30	
1	1	1	1	1	2003121-161 or 2003888-161	LOGIC MODULE A18	29	
1	1	1	1	1	2003121-151 or 2003888-151	LOGIC MODULE A17	28	
1	1	1	1	1	2003121-141 or 2003888-141	LOGIC MODULE A16	27	
1	1	1	1	1	2003121-131 or 2003888-131	LOGIC MODULE A15	26	
1	1	1	1	1	2003121-121 or 2003888-121	LOGIC MODULE A14	25	
1	1	1	1	1	2003121-111 or 2003888-111	LOGIC MODULE A13	24	
1	1	1	1	1	2003121-091 or 2003888-091	LOGIC MODULE A12	23	
4	4	4	4	4	2003121-081 or 2003888-081	LOGIC MODULE A8-11	22	
1	1	1	1	1	2003121-071 or 2003888-071	LOGIC MODULE A7	21	
1	1	1	1	1	2003121-061 or 2003888-061	LOGIC MODULE A6	20	
1	1	1	1	1	2003121-051 or 2003888-051	LOGIC MODULE A5	19	
1	1	1	1	1	2003121-041 or 2003888-041	LOGIC MODULE A4	18	
1	1	1	1	1	2003121-031 or 2003888-031	LOGIC MODULE A3	17	
1	1	1	1	1	2003121-021 or 2003888-021	LOGIC MODULE A2	16	
1	1	1	1	1	2003121-011 or 2003888-011	LOGIC MODULE A1	15	
				2	2003140-011	ROPE DRIVER MODULE B16-B17	14	
1	1	1	1	1	2003027-021 or 2003027-031	STRAND SELECT MODULE B15	13	
1	1	1	1	1	2003982-011 or 2003982-021 or 2003982-031	SENSE AMPL MOD, ERASABLE MEMORY B13	12	
1	1	1	1	1	2003111-011 or 2003111-021	ERASABLE MEMORY MODULE B12	11	
1	1	1	1	1	2003026-021 or 2003026-031	CURRENT SWITCH MODULE B11	10	
2	2	2	2	2	2003114-011 or 2003114-021	ERASABLE DRIVER MODULE B9-10	9	
