-11	DRAWING	TITLE	FIND	STRIKE	NOTE
X	2005954	INTERCONNECTING DIAGRAM	REF		
					
					
					
AR	1006776-21	INSULATION SLEEVING	20		
1	2003880-011	TERMINAL BLOCK ASSY	19		
1	1000159-10	PACKING, PREFORMED O-RING	18		
1	1004546-6	WASHER, FLAT	17		
1	1010635-004	WASHER, FLAT	16		
1	NAS1598D08N	WASHER, SEALING	15		
1	MS51957-42	SCREW, PAN HD, CROSS RECESSED	14		
1	2004931	RETAINER, VALVE CAP	13		
1	2003886-011	WIRING HARNESS, BRANCHED	12		
2	MS16633-4015	RING, RETAINING	11		
2	1004546-3	WASHER, FLAT	10		
2	1004546-1	WASHER, FLAT	9		
2	1004579-2	SCREW, JACKING	8		
4	MS51959-28	SCREW, FLAT HD, CROSS RECESSED	7		
1	2004903	VALVE PNEUMATIC TANK	6		
1	1000159-14	PACKINT	5		
1	MS15795-814	WASHER, FLAT	4		
1	MS20364D624A	NUT, HEX	3		
1	2003882-011	CONNECTOR PLATE WIRED ASSY	2		
1	2003947-011	IDM WIREWRAP PLATE ASSY	1		The original drawing indicates 203947-011, but this was an error.
					
X	X	PROOFED	REF	X	
