-21	-11	DRAWING	TITLE	FIND	STRIKE
	X	2005904	SCHEMATIC	REF	
X		2005921	SCHEMATIC	REF	
					
					
					
1		2004715	INSULATOR, UPPER LEVEL	43	
1		2004714	INSULATOR, LOWER LEVEL	42	
1		1006750-63	RESISTOR, FIXED	41	
1		SEE NOTE 11	CAPACITOR, FIXED	40	
4		2004984-013	WASHER, FLAT	39	
2		2004984-003	WASHER, FLAT	38	
2		2004984-001	WASHER, FLAT	37	
4		2004984-012	WASHER, FLAT	36	
	4	MS15795-803	WASHER, FLAT	35	
2	2	MS15795-808	WASHER, FLAT	34	
AR	AR	1006879	SILICONE COMPOUND	33	
AR	AR	1006757-13	WIRE, ELECTRICAL, .020 DIA.	32	
2	2	MS16633-4015	RING, RETAINING, EXTERNAL	31	
	2	1004546-3	WASHER, FLAT	30	
	2	1004546-1	WASHER, FLAT	29	
4	4	MS35338-78	WASHER, FLAT, SPLIT	28	
	4	NAS620C4	WASHER, FLAT	27	
4		MS24693-PC2	SCREW, FLAT HD, CROSS RECESSED	26	
8		MS35216-12	SCREW, PAN HD, CROSS RECESSED	25	
2		1004579-1	SCREW, JACKING	24	
1		SEE NOTE 11	RESISTOR, FIXED FILM	23	
1		SEE NOTE 11	RESISTOR, FIXED FILM	22	
1		1006750-56	RESISTOR, FIXED	21	
	1	1006750-72	RESISTOR, FIXED	20	
1		1006750-32	RESISTOR, FIXED	19	
2		1006760-64	RESISTOR, FIXED	18	
2		1010291-4	TRANSFORMER, AUDIO	17	
1		1010406-7	COIL, RF, CHOKE	16	
1		1006755-134	CAPACITOR, FIXED	15	
	1	1006793-19	CAPACITOR, FIXED	14	
4		2004103-001	SEMICONDUCTOR DEVICE, DIODE	13	
2		1010376-1	TRANSISTOR, SILICON TYPE, NPN	12	
2		1006363-002	TRANSISTOR, SILICON TYPE, NPN	11	
1		1006325	REACTOR, SATURABLE	10	
AR		1006757-1	WIRE, ELECTRICAL, .010X.020	9	X
AR		1006757-8	WIRE, ELECTRICAL, .020 DIA.	8	X
AR	AR	1006776-22	SLEEVING, INSULATION	7	
	1	2004902	INSULATOR, UPPER LEVEL	6	
	1	2004901-011	INSULATOR, LOWER LEVEL	5	
1		2004934	INSULATOR, REAR	4	
1		2004906	COVER, BOTTOM	3	
1		2004905	COVER, TOP	2	
1		2003921-011	HEADER ASSEMBLY	1	
