-21	-11	DRAWING	TITLE	FIND	STRIKE
X	X	2005903	SCHEMATIC	REF	
					
4		2004984-004	WASHER, FLAT	12	
2	2	MS16633-4014	RING, RETAINING	11	
	4	1004546-4	WASHER, FLAT	10	
2	2	2004932-002	SCREW, JACKING	9	
2	2	MS35200-15	SCREW, FLAT HD	8	
9	9	1006750-25	RESISTOR, FIXED FILM	7	
43	43	2004103-001	SEMICONDUCTOR DEVICE, DIODE	6	
AR	AR	1006776-22	INSULATION, SLEEVING	5	
AR	AR	1006757-8	WIRE, ELECTRICAL	4	
	AR	1006757-1	WIRE, ELECTRICAL	3	X
1	1	2004926-011	BLOCK, COMPONENT	2	
1	1	2003918-011	HEADER ASSY	1	
