-21	-11	DRAWING	TITLE	FIND	STRIKE
X		2005973	SCHEMATIC	REF	
1		2004692	INSULATOR B	19	
20		2004688-1 or 2004688-2	RELAY	18	
2		2004689-2	RELAY	17	
	X	2005902	SCHEMATIC	REF	
X		2005940	SCHEMATIC	REF	X
42		2004183-001	DIODE	16	
	2	1010784-11	RELAY	15	
	2	1010784-9	RELAY	14	X
	20	1006282-2	RELAY	13	
	42	2004103-001	DIODE	12	
1	1	2003911-011	MATRIX ASSEMBLY	11	
AR	AR	1006776-22	INSULATION, SLEEVING ELECTRICAL	10	
AR	AR	1006757-1	WIRE, ELECTRICAL, .010X.020	9	
AR	AR	1006757-8	WIRE, ELECTRICAL, 0.20 DIA	8	
AR	AR	1006806-24	INSULATION TAPE, ELECTRICAL	7	
2	2	2004951	BOARD, INSULATOR	6	
	1	2004917	INSULATOR	5	X
1	1	2004916	INSULATOR	4	
	1	2004952	INSULATOR B	3	
1	1	2004933	INSULATOR A	2	
1	1	2004908	BLOCK, COMPONENT RELAY	1	
					
X	X	X	PROOFED	REF	X
