-61	-51	-41	-31	-21	-11	DRAWING	TITLE	FIND
1						1006397-002 or 1006387-003	INDICATOR ALARM	33
1	1	1				2004739-001	COVER, FRONT	32
2	2	2				2003897-041	COVER ASSY	31
12	12	12				2004932-004	SCREW, JACKING	30
X	X	X	X	X	X	2003956	OUTLINE DRAWING	REF
X	X	X	X	X	X	2005957	SIGNAL PIN ASSIGNMENT	REF
X	X	X	X	X	X	2005953	INTERCONNECTING DIAGRAM	REF
X	X	X	X	X	X	2005918	SIGNAL FLOW DIAGRAM	REF
								
			1			203899-011	INDICATOR, ALARM & COVER ASSY	29
1			1			2003949-051	FRONT HOUSING ASSY	28
			1			2004739-000	COVER, FRONT	27
	1			1		2003949-031	FRONT HOUSING ASSY	26
13	13	13	13	13	13	NAS620C4	WASHER, FLAT	25
1	1	1	1	1	1	2004958	BRACKET, MODULE	24
1	1	1	1	1	1	2004959	BRACKET, MODULE	23
64	64	64	42	46	46	NAS620C6	WASHER, FLAT	22
24	24	24	8	12	12	1004546-4	WASHER, FLAT	21
12	12	12	4	6	6	MS16633-4014	RING, RETAINING	20
			4	6	6	2004932-001	SCREW, JACKING	19
8	8	8	8	8	8	1001489-59	SCREW, HEX SOCKET HEAD	18
4	4	4	4	4	4	MS35216-1	SCREW, PAN HEAD, CROSS RECESSED	17
32	32	32	32	32	32	MS16995-18	SCREW, HEX SOCKET HEAD	16
1	1	1	1	1	1	1004260-20	NAMEPLATE	15
AR	AR	AR	AR	AR	AR	1006879	SILICONE COMPOUND	14
13	13	13	13	13	13	MS16995-10	SCREW, HEX SOCKET HEAD	13
			2	6	6	MS16995-20	SCREW, HEX SOCKET HEAD	12
1	1	1	1	1	1	2003909-021	KEYBOARD MODULE ASSY D8	11
1	1	1	1	1	1	2003901-021	POWER SUPPLY ASSY MODULE D7	10
6	6	6	6	6	6	2003952-021	INDICATOR DRIVER MODULE D1-D6	9
1	1	1	1	1	1	1006349	GASKET, BONDED, RUBBER	8
1	1	1	1	1	1	1006350	GASKET, BONDED, RUBBER	7
1	1	1	1	1	1	2004900	COVER, REAR	6
1	1	1	1	1	1	2003955-011	MAIN HOUSING ASSY	5
		1			1	2003949-011	FRONT HOUSING ASSY	4
1	1	1	1	1	1	1006315-001	INDICATOR, DIGITAL	3
	1	1		1	1	1006387-001	INDICATOR, ALARM	2
				1	1	2004929-021	COVER, FRONT	1
