-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
X			2005940	SCHEMATIC	REF	
	X	X	2005952	SCHEMATIC	REF	
2			1006750-63	RESISTOR, FIXED, FILM	37	
6			2004184-005	TRANSISTOR, POTTED	36	
22			2004183-001	DIODE	35	
1			2003908-021	DECODING CIRCUIT ASSY	34	
1			2003910-021	RELAY CIRCUIT ASSY	33	
AR	AR		1006776	SLEEVING, INSULATION, AWG26	32	
AR	AR		1006757-27	WIRE, ELECTRICAL, .015 DIA	31	
	AR		1010848-1	WIRE, INSULATED	30	X
2	2		2004984-001	WASHER, FLAT	29	
2	2		2004984-003	WASHER, FLAT	28	
5	5	5	1006750-39	RESISTOR, FIXED, FILM	27	
1	1	1	2004917	INSULATOR	26	
AR	AR	AR	1006879	COMPOUND, SILICONE, THERMOCONDUCTIVE	25	
AR	AR	AR	1006757-1	WIRE, ELECTRICAL, .010X.020	24	
7	7	7	2004004-002	TRANSISTOR	23	
	6	6	2004004-001	TRANSISTOR	22	
3	3	3	1006750-62	RESISTOR, FIXED, FILM	21	
13	15	15	1006750-56	RESISTOR, FIXED, FILM	20	
	22	22	2004103-001	SEMICONDUCTOR DEVICE, DIODE	19	
5	5	5	1006755-106	CAPACITOR, FIXED	18	
AR	AR	AR	1006776-22	SLEEVING, INSULATION	17	
AR	AR	AR	1006757-8	WIRE, ELECTRICAL, .020 DIA	16	
2	2	2	1006750-32	RESISTOR, FIXED, FILM	15	
1	1	1	2004993	INSULATOR, PHOTOMASTER, SPECIAL LEVEL	14	
1	1	1	2004992-011	INSULATOR, PHOTOMASTER, LOWER LEVEL	13	
1	1	1	2004991	INSULATOR, PHOTOMASTER, UPPER LEVEL	12	
1	1	1	2004990-011	INSULATOR, PHOTOMASTER, REAR	11	
15	15	15	MS24693-C2	SCREW, FLAT HD, CROSS RECESSED	10	
2	2	2	MS16633-4015	RING, RETAINING, EXTERNAL	9	
		2	1004546-1	WASHER, FLAT	8	
		2	1004546-3	WASHER, FLAT	7	
2	2	2	1004579-1	SCREW, JACKING	6	
1	1	1	2004956	COVER, REAR	5	
1	1	1	2004911	COVER, REAR	4	
	1	1	2003908-011	DECODING CIRCUIT ASSY	3	
	1	1	2003910-011	RELAY CIRCUIT ASSY	2	
1	1	1	2003907-011	HEADER ASSY	1	
						
X	X	X	X	PROOFED	REF	X
