FIND	QTY	TITLE	-11	-21	-31	-41	-51	-61	-71	-81	-91	-111	-121	-131	-141	-151	-161	-171	-181	-191	-211	-221	-231	-241	-251	-261	-271	-281	-291	-311	-321	-331	-341	-351	-361	-371	-381	-391	-411	-421	-431	-441	-451	-461	-471	-481	-491	-511	-521	-531	-541	-551	-561	-571	-581	-591	-611	-621	-631	-641	-651	-661	-671	-681	-691	-711	-721	-731	-741	-751	-761	-771	-781	-791	-811	-821	-831	-841	-851	-861	-871	-881	-891	-911	-921	-931	-941	-951	-961	-971	-981	-991	-1011	-1021	-1031	-1041	-1051	-1061	-1071	-1081	-1091	-1111	-1121	-1131	-1141
40	AR	ADHESIVE SEALANT, SILICONE RUBBER	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341
39	1	COMPONENT BLOCK DIODE ASSY	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021
REF	X	SCHEMATIC	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935	2005935
																																																																																																									
38	1	FLAT CABLE	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684
37	4	SCREW, SHOULDERED	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003
36	AR	INSULATION TAPE, ELECTRICAL	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26
35	1	SCREW, SHOULDERED	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001
34	1	SCREW, SHOULDERED	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002
33	1	FLAT CABLE INTERCONNECTION	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129
