-81	-71	-61	-51	-41	-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
1								SEE NOTE 17	INDICATOR ALARM	45	
1	1							2004739-001	COVER, FRONT	44	
2	2							2003897-041	COVER ASSY	43	
12	12							2004932-004	SCREW JACKING	42	
		1						2003899-011	INDICATOR ALARM & COVER ASSY	41	
1		1						2003903-041	FRONT HOUSING ASSY	40	
		1						2004739-000	COVER, FRONT	39	
X	X	X	X	X	X	X	X	2003956	OUTLINE DRAWING	REF	
X	X	X	X	X	X	X	X	2005957	SIGNAL PIN ASSIGNMENT	REF	
X	X	X	X	X	X	X	X	2005951	INTERCONNECTING DIAGRAM	REF	
X	X	X	X	X	X	X	X	2005950	SIGNAL FLOW DIAGRAM	REF	
											
6		6	6	6				2003952-011	INDICATOR DRIVER MODULE D1-D6	38	
		2	6	6	6	6	6	MS16995-20	SCREW, CAP, SOCKET HEAD	37	
			1		1			2003903-031	FRONT HOUSING ASSY	36	
	1			1		1		2003903-021	FRONT HOUSING ASSY	35	
AR	AR	AR	AR	AR	AR	AR	AR	1006879	SILICONE COMPOUND	34	
					1	1	1	2004955-005	GASKET	33	X
					1	1	1	2004955-008	GASKET	32	X
					2	2	2	2004955-007	GASKET	31	X
					1	1	1	2004955-006	GASKET	30	X
					6	6	6	2004955-003	GASKET	29	X
					6	6	6	2004955-002	GASKET	28	X
					6	6	6	2004955-004	GASKET	27	X
13	13	13	13	13	13	13	13	MS16995-10	SCREW, HEX SOCKET HEAD	26	
13	13	13	13	13	13	13	13	NAS620C4	WASHER, FLAT	25	
1	1	1	1	1	1	1	1	2004958	BRACKET, MODULE	24	
1	1	1	1	1	1	1	1	2004959	BRACKET, MODULE	23	
64	64	42	46	46	46	46	46	NAS620C6	WASHER, FLAT	22	
24	24	8	12	12	12	12	12	1004546-4	WASHER, FLAT	21	
12	12	4	6	6	6	6	6	MS16633-4014	RING, RETAINING	20	
		4	6	6	6	6	6	2004932-001	SCREW, JACKING	19	
8	8	8	8	8	8	8	8	1001489-59	SCREW, HEX SOCKET HEAD	18	
4	4	4	4	4	4	4	4	MS35216-1	SCREW, PAN HEAD, CROSS RECESSED	17	
32	32	32	32	32	32	32	32	MS16995-18	SCREW CAP, SOCKET HEAD	16	
1	1	1	1	1	1	1	1	1004260-20	NAMEPLATE	15	
					1	1	1	2004955-001	GASKET	14	X
					1	1	1	2004953-002	GASKET	13	X
					1	1	1	2004953-001	GASKET	12	X
1	1	1	1	1	1	1	1	2003909-011	KEYBOARD MODULE ASSY D8	11	
1	1	1	1	1	1	1	1	2003901-011	POWER SUPPLY ASSY MODULE D7	10	
	6				6	6	6	2003902-011	INDICATOR DRIVER MODULE D1-D6	9	
1	1	1	1	1	1	1	1	1006349	GASKET, BONDED, RUBBER	8	
1	1	1	1	1	1	1	1	1006350	GASKET, BONDED, RUBBER	7	
1	1	1	1	1	1	1	1	2004900	COVER, REAR	6	
1	1	1	1	1	1	1	1	2003954-011	MAIN HOUSING ASSY	5	
							1	2003903-011	FRONT HOUSING ASSY	4	
1	1	1	1	1	1	1	1	1006315	INDICATOR, DIGITAL	3	
	1		1	1	1	1	1	1006316	INDICATOR ALARM	2	
			1	1	1	1	1	2004929-011	COVER, FRONT	1	
