-111	-91	-81	-71	-61	-51	-41	-31	-21	-11	DRAWING	TITLE	FIND	STRIKE	NOTE
														
1	1	1	1							2003309	RESTART MONITOR SUBASSEMBLY	88		This is speculative, based on the assumed effect of ECP 815.  It is not present in the original drawing, which only goes up to -061..
														
1	1			1	1					2003983-041	ALARM MODULE B8	87		
1	1	1	1	1	1	1	1	1	1	2003111-031	ERASABLE MEMORY MODULE B12	86		
1			1	1			1			2003092-071	"TRAY ""A"" WIRED ASSY"	85		
4	4	4	4	4	4	4	4	4	4	1010485-432	SCREW NYLON	84		
11	11	11	11	11	11	11	11	11	11	1010485-332	SCREW NYLON	83		
6	6	6	6	6	6	6	6	6	6	1010485-235	SCREW NYLON	82		
28	28	28	28	28	28	28	28	28	28	1010485-100	SCREW NYLON	81		
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	1006338-003	SEALING COMPOUND, SILICONE RUBBER	80		
1	1	1	1	1	1	1	1			2004691	SHIM VIBRATION DAMPENING	79		
1	1	1	1	1	1	1	1			2004690	PAD VIBRATION DAMPENING	78		
1	1	1	1	1	1	1	1			2004899-007	PAD VIBRATION	77		
1	1	1	1	1	1	1	1			2004899-006	PAD VIBRATION	76		
AR			AR	AR			AR			2004895-002	SHIM AGC	75	X	
AR			AR	AR			AR			2004895-001	SHIM AGC	74	X	
1			1	1			1			2003092-041	"TRAY ""A"" WIRED ASSY"	73	X	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	2010801	SHIM AGC	72		
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	2010800-000	SHIM	71		
X	X	X	X	X	X	X	X	X	X	2005036 and 2003092	AGC WIRE LIST	REF		
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	1008954	SILICONE COMPOUND	70		
2	2	2	2	2	2	2	2	2		2003892-011	POWER SUPPLY MODULE A30-31	69		
	1	1			1	1		1		2003092-041 or 2003092-061 or 2003092-071	"TRAY ""A"" WIRED ASSY"	68		
33	33	33	33	33	33	33	33	33	33	2004732-002	SCREW, COATED	67		
AR			AR	AR			AR	AR	AR	1006338-000	SEALING COMPOUND, SILICONE RUBBER	66	X	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	1006776-22	INSULATION, SLEEVING ELECTRICAL	65		
1	1	1	1	1	1	1	1	1	1	SEE NOTE 20	CAPACITOR	64		
10	10	10	10	10	10	10	10	10	10	2004148-007	WASHER, FLAT	63		
1	1	1	1	1	1	1	1	1	1	2003981-021 or 2003981-031	SENSE AMPLIFIER MODULE, FIXED MEMORY B14	62		
								AR	AR	2004895-002	SHIM AGC	61	X	
								AR	AR	2004895-001	SHIM AGC	60	X	
								1	1	2004899-001	PAD VIBRATION	59		
1	1	1	1	1	1	1	1	1	1	2003970	VIBRATION PAD ASSY	58		
4	4	4	4	4	4	4	4	4	4	NAS1598-D08N	WASHER, SEALING	57		
1	1	1	1	1	1	1	1	1	1	2018773	VALVE PRESSURE ASEMBLY	56		
1	1	1	1	1	1	1	1	1	1	1000159-5	"PACKING, PREFORMED ""O"" RING"	55		
2	2	2	2	2	2	2	2	2	2	2004984-001	WASHER, FLAT	54		
8	8	8	8	8	8	8	8	8	8	2004130	PAD, THREADED	53		
18	18	18	18	18	18	18	18	18	18	2004894-014	WASHER, FLAT	52		
4	4	4	4	4	4	4	4	4	4	2004894-012	WASHER, FLAT	51		
2	2	2	2	2	2	2	2	2	2	1001489-36	SCREW, HEX SOCKET HEAD	50		
4	4	4	4	4	4	4	4	4	4	1004722-2	SCREW, CAPTIVE	49		
