-121	-111	-91	-81	-71	-61	-51	-41	-31	-21	-11	DRAWING	TITLE	FIND
1	1	1	1								2003988-011 or 2003988-021	E/L & COVER ASSY	38
		1	1	1	1						1005025-001	INDICATOR STATUS/CAUTION	37
1	1	1	1	2	2	2	2				2003897-041	COVER ASSY	36
6	6	6	6	12	12	12	12				2004932-004	SCREW JACKING	35
								12			1001489-26	SCREW HEX SOCKET HEAD	34
AR	AR	AR	AR	AR	AR	AR	AR	AR			1008954	SILICONE COMPOUND	33
								12			MS28775-006	“O” RING	32
								1			2003897-031	E/L COVER ASSY	31
X	X	X	X	X	X	X	X	X	X	X	2003956	OUTLINE DRAWING	REF
X	X	X	X	X	X	X	X	X	X	X	2005957	SIGNAL PIN ASSIGNMENT	REF
X	X	X	X	X	X	X	X	X	X	X	2005954	INTERCONNECTING DIAGRAM	REF
X	X					X	X	X	X	X	2005918	SIGNAL FLOW DIAGRAM	REF
								1			2003897-021	I/L COVER ASSY	30
1	1	1	1	1	1	1	1	1			2004739-001	COVER FRONT	29
									1		2003899-011	INDICATOR ALARM & COVER ASSY	28
1		1		1		1		1	1		2003949-041	FRONT HOUSING ASSY	27
									1		2004739-000	COVER FRONT	26
13	13	13	13	13	13	13	13	13	13	13	NAS620C4	WASHER, FLAT	25
1	1	1	1	1	1	1	1	1	1	1	2004958	BRACKET, MODULE	24
1	1	1	1	1	1	1	1	1	1	1	2004959	BRACKET, MODULE	23
54	58	54	58	66	70	66	70	88	42	46	NAS620C6	WASHER, FLAT	22
12	12	12	12	24	24	24	24		8	12	1004546-4	WASHER, FLAT	21
6	6	6	6	12	12	12	12		4	6	MS16633-4014	RING, RETAINING	20
									4	6	2004932-001	SCREW, JACKING	19
8	8	8	8	8	8	8	8	8	8	8	1001489-59	SCREW, HEX SOCKET HEAD	18
4	4	4	4	4	4	4	4	4	4	4	MS35216-1	SCREW, PAN HEAD, CROSS RECESSED	17
32	32	32	32	32	32	32	32	32	32	32	MS16995-18	SCREW, HEX, SOCKET HEAD	16
1	1	1	1	1	1	1	1	1	1	1	1004260-20	NAMEPLATE	15
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	1006879	SILICONE COMPOUND	14
13	13	13	13	13	13	13	13	13	13	13	MS16995-10	SCREW, HEX SOCKET HEAD	13
									2	6	MS16995-20	SCREW, HEX SOCKET HEAD	12
1	1	1	1	1	1	1	1	1	1	1	2004909-031	KEYBOARD MODULE ASSY D8	11
1	1	1	1	1	1	1	1	1	1	1	2003901-031	POWER SUPPLY ASSY MODULE D7	10
6	6	6	6	6	6	6	6	6	6	6	2003952-031	INDICATOR DRIVER MODULE D1-D6	9
1	1	1	1	1	1	1	1	1	1	1	1006349	GASKET, BONDED, RUBBER	8
1	1	1	1	1	1	1	1	1	1	1	1006350	GASKET, BONDED, RUBBER	7
1	1	1	1	1	1	1	1	1	1	1	2004900	COVER, REAR	6
1	1	1	1	1	1	1	1	1	1	1	2003885-011	MAIN HOUSING ASSY	5
	1		1		1		1			1	2003949-021	FRONT HOUSING ASSY	4
1	1			1	1	1	1	1	1	1	1006315-001	INDICATOR, DIGITAL	3
1	1					1	1	1		1	1006387-002 or 1006387-003	INDICATOR, ALARM	2
										1	2004929-021	COVER, FRONT	1
