0	DRAWING	TITLE	FIND
X	2010055	SCHEMATIC	REF
4	2007052	CONTACT ELECTRICAL PIN, RED	19
1	2007048	CONTACT ELECTRICAL PIN, BLACK	18
			17
AR	1006776-22	INSULATION, SLEEVING	16
AR	-21	INSULATION, SLEEVING	15
AR	1006757-8	WIRE, ELEC (.020 DIA)	14
AR	-1	WIRE, ELEC (.010 X .020)	13
2	1010397-1	TRANSISTOR	12
1	1012056-11	DIODE	11
1	1010393-044	CAPACITOR	10
1	1006755-69	CAPACITOR	9
1	1006750 SEE DRAWING NOTE 9	RESISTOR	8
1	1010768-29	RESISTOR	7
1	1010364 SEE DRAWING NOTE 9	RESISTOR	6
1	1006750-78	RESISTOR	5
1	-25	RESISTOR	4
2	2008221	BUSHING, THREADED	3
1	2008230	INSULATOR, BOTTOM	2
1	2008229	INSULATOR, TOP	1
			
		PROOFED	
