0	DRAWING	TITLE	FIND
X	2010057	SCHEMATIC	REF
1	1010342	TRANSISTOR	29
1	1010279-228	CAPACITOR	28
1	1006750-39	RESISTOR	27
4	2007052	CONTACT, ELECTRICAL PIN, RED	26
1	2007048	CONTACT, ELECTRICAL PIN, BLACK	25
2	2007039	CONTACT, ELECTRICAL PIN	24
AR	1006776-22	INSULATION, SLEEVING	23
AR	-21	INSULATION, SLEEVING	22
AR	1006757-8	WIRE, ELEC. (.020 DIA)	21
AR	-1	WIRE, ELEC. (.010 X .020)	20
1	1010709	TRANSFORMER	19
2	1010397-1	TRANSISTOR	18
1	1012056-11	DIODE	17
2	1006755-77	CAPACITOR	16
1	1006793-19	CAPACITOR	15
1	1010393-044	CAPACITOR	14
1	1006755-69	CAPACITOR	13
1	1010768-29	RESISTOR	12
1	1006750-25	RESISTOR	11
1	-19	RESISTOR	10
1	-73	RESISTOR	9
1	-49	RESISTOR	8
1	1010364 SEE DRAWING NOTE 9	RESISTOR	7
1	1006750 SEE DRAWING NOTE 9	RESISTOR	6
1	1010364 SEE DRAWING NOTE 9	RESISTOR	5
2	1006750-70	RESISTOR	4
2	2008221	BUSHING, THREADED	3
1	2008223	INSULATOR, BOTTOM	2
1	2008222	INSULATOR, TOP	1
			
		PROOFED	
