0	DRAWING	TITLE	FIND
X	2010036	SCHEMATIC	REF
1	1010768 SEE DRAWING NOTE 12	RESISTOR	15
1	2007052	CONTACT, ELECTRICAL PIN	14
1	2007048	CONTACT, ELECTRICAL PIN	13
2	2007041-1	CONTACT, ELECTRICAL PIN	12
1	1012148	TRANSFORMER	11
2	1010398-1	TRANSISTOR	10
1	1012141	CAPACITOR	9
3	2007039	CONTACT, ELECTRICAL PIN	8
1	2007043	SHIELD INSULATED	7
1	2007037	PWR SUP SUB-ASSY (PHOTOMETER-TRACKER)	6
1	2007036	PWR SUP SUB-ASSY (TRACKER)	5
1	1010618-1	SCREW, BUTTON HEAD	4
AR	1006776-21	INSULATION SLEEVING	3
AR	1006757-1	WIRE, ELEC., .010 X .020	2
1	2008208	WIRING BOARD	1
			
		PROOFED	
