0	DRAWING	TITLE	FIND
X	2010037	SCHEMATIC	REF
			
1	1010830-5	DIODE	22
4	1010397-1	TRANSISTOR	21
1	1012056-8	DIODE	20
1	-1	DIODE	19
2	1010362-002	DIODE	18
2	1012142	CAPACITOR	17
2	1006755-69	CAPACITOR	16
1	1010768-75	RESISTOR	15
1	-54	RESISTOR	14
1	1010364 SEE DRAWING NOTE 9	RESISTOR	13
			12
1	1006750-74	RESISTOR	11
1	-60	RESISTOR	10
1	-66	RESISTOR	9
1	-38	RESISTOR	8
AR	1006776-22	INSULATION SLEEVING	7
AR	-21	INSULATION SLEEVING	6
AR	1006757-8	WIRE, ELECTRICAL .020 DIA	5
AR	-1	WIRE, ELECTRICAL .010 X .020	4
1	2008209	INSERT, THREADED	3
1	2008211	INSULATOR, BOTTOM	2
1	2008210	INSULATOR, TOP	1
			
		PROOFED	
