-21	-11	DRAWING	TITLE	FIND	STRIKE
	X	2010052	SCHEMATIC	REF	
					
X		2010096	SCHEMATIC	REF	
1		1008848-001	CAPACITOR	22	
AR	AR	1010848-2	WIRE, ELECTRICAL	21	
AR	AR	1006757-1	WIRE, ELECTRICAL	20	
AR	AR	1006776-21	INSULATION, SLEEVING	19	X
AR	AR	1006776-22	INSULATION, SLEEVING	18	
2	2	1010652-5	DUAL TRANSISTOR	17	
2	2	1008900-004	CAPACITOR 82 pf, 100V +/- 1%	16	
1	1	1010393-029	CAPACITOR	15	
	1	1008848-001	CAPACITOR	14	
1	1	1008830-45	CAPACITORS (MATCHED PAIR)	13	
2	2	1006755-71	CAPACITOR	12	
2	2	1010369-96	RESISTOR	11	
1	1	1006750-65	RESISTOR	10	
2	2	1006750-60	RESISTOR	9	
2	2	1010969-360	RESISTOR	8	
2	2	1010311-239	RESISTOR	7	
1	1	1010311-143	RESISTOR	6	
2	2	1010311-23	RESISTOR	5	
2	2	2008115	SPACER	4	
1	1	2008119	WIRING BOARD, BOTTOM	3	
1	1	2008118	WIRING BOARD, TOP	2	
1	1	2007061-011	HOUSING ASSY	1	
					
			PROOFED		
