-111	-101	-91	-81	-71	-61	-51	-41	-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
12	12	12	12	12							2010752-002	WASHER, FLAT	19	
1	1	1	1	1							2018773	VALVE, PRESSURE ASSEMBLY	18	
1	1	1	1	1							2010773	COVER, BOTTOM	17	
1	1	1	1	1							2007084-021	TRAY X SUBASSEMBLY	16	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	1006376-003	WIRE	15	
			1								6007034	LEAD SET	14	
				1							2007337	LEAD SET	13	
AR	AR		AR	AR	AR	AR					1008895-003	TAPE, PRESSURE SENSITIVE	12	
X			X		X		X				6010108	WIRE WRAP CARD DECK	REF	
	X	X		X		X		X			2010108	WIRE WRAP CARD DECK	REF	
1					1		1		1		6007033	LEAD SET	11	
			AR	AR	AR	AR	AR	AR	AR	AR	1006732-3	WIRE	10	X
	1	1				1		1		1	2007333	LEAD SET	9	
										X	2010105	WIRE WRAP CARD DECK	8	
1	1	1	1	1	1	1	1	1	1	1	1000159-5	PACKING PREFORMED “O” RING	7	
			AR	AR	AR	AR	AR	AR	AR	AR	1006732-1	WIRE	6	X
		6					6	6			2008373	SPACER	5	
3	3	3	3	3	3	3	3	3	3	3	1008817	THERMAL SENSOR RIBBON	4	
					1	1	1	1	1	1	2007213-011	VALVE, PRESSURE ASSEMBLY	3	
					1	1	1	1			2008371	COVER, BOTTOM	2	
					1	1	1	1	1	1	2007084-011	TRAY X SUBASSEMBLY	1	
