-61	-51	-41	-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
AR	AR	AR	AR	AR	AR	1006376-003	WIRE	11	
AR	AR	AR	AR	AR	AR	1006732-3	WIRE	10	X
X		X				6010107	WIRE WRAP CARD DECK	REF	
	X		X			2010107	WIRE WRAP CARD DECK	REF	
3	3	3	3	3	3	1008817	THERMAL SENSOR RIBBON	9	
1		1		1		6007032	LEAD SET	8	
AR	AR					1008895	TAPE, PRESSURE SENSITIVE	7	
		6	6			2008373	SPACER	6	
AR	AR	AR	AR	AR	AR	1006732-1	WIRE	5	X
	1		1		1	2007332	LEAD SET	4	
					1	2010104	WIRE WRAP CARD DECK	3	
1	1	1	1			2008370	COVER, TOP	2	
1	1	1	1	1	1	2007085-011	TRAY S SUBASSEMBLY	1	
									
X	X	X	X	X	X	X	PROOFED	REF	X
