-41	-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
80				1010994-005	TERMINAL WRAPOST	12	
1	1	1		2008432	HEADER, INSEPARABLE ASSEMBLY	11	
3	3	3	3	MS16555-685	PIN, GUIDE	10	
80	80	80	80	1010620-7	PIN, GUIDE	9	
40	40	40	40	1008818-002	CONT, WRAPOST – SUB – MINAT, FEMALE, GRD	8	
40	40	40	40	1008819-001	SLV, GRD – SUB – MINIATURE, FEMALE	7	
882	882	882	882	1006781-3	CONTACT, WRAPOST – FEMALE, MINAT	6	
882	882	882	882	1006774	INSULATOR, WRAPOST – FEMALE, MINAT	5	
34	34	34	34	1010994-001	TERMINAL WRAPOST	4	
63	143	143	143	1010994-003	TERMINAL WRAPOST	3	
177	177	177	177	1010995-001	INSULATOR, BUSHING	2	
			1	2008332	HEADER, INSEPARABLE ASSEMBLY	1	
							
X	X	X	X	X	PROOFED	REF	X
